Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
263,Ty Lawson,26,DEN,62,61,35.8,5.6,13,0.431,1.2,3.3,0.356,4.4,9.7,0.455,0.475,5.2,6.5,0.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.6
264,Ricky Ledo,21,DAL,11,0,3,0.5,1.5,0.353,0.3,0.7,0.375,0.3,0.8,0.333,0.441,0.4,0.4,1,0,0.2,0.2,0.2,0.1,0,0.2,0.2,1.7
265,Courtney Lee,28,TOT,79,47,25,3.7,7.8,0.48,0.9,2.5,0.371,2.8,5.3,0.531,0.539,1.3,1.4,0.884,0.4,2,2.4,1.5,0.8,0.4,0.9,1.6,9.6
265,Courtney Lee,28,BOS,30,0,16.8,3,6.1,0.492,0.8,1.7,0.442,2.2,4.4,0.511,0.555,0.6,0.7,0.818,0.3,1.4,1.6,1.1,0.7,0.3,0.8,1.2,7.4
265,Courtney Lee,28,MEM,49,47,30,4.2,8.8,0.476,1,2.9,0.345,3.2,5.9,0.54,0.532,1.7,1.8,0.9,0.4,2.4,2.8,1.7,0.9,0.4,1,1.8,11
266,David Lee,30,GSW,69,67,33.2,7.4,14.2,0.523,0,0,0,7.4,14.2,0.523,0.523,3.3,4.3,0.78,2.6,6.7,9.3,2.1,0.7,0.4,2.2,3,18.2
267,Alex Len,20,PHO,42,3,8.6,0.8,1.9,0.423,0,0,,0.8,1.9,0.423,0.423,0.5,0.7,0.645,0.9,1.4,2.4,0.1,0.1,0.4,0.6,1.6,2
268,Kawhi Leonard,22,SAS,66,65,29.1,5.1,9.8,0.522,1,2.8,0.379,4.1,7,0.579,0.576,1.5,1.9,0.802,1.2,5.1,6.2,2,1.7,0.8,1.2,1.9,12.8
269,Meyers Leonard,21,POR,40,0,8.9,1,2.3,0.451,0,0.2,0,1,2.1,0.482,0.451,0.4,0.5,0.762,0.7,2.1,2.8,0.5,0.2,0.1,0.4,1.9,2.5
270,Jon Leuer,24,MEM,49,0,13.1,2.5,5,0.492,0.5,1,0.469,2,4,0.497,0.539,0.8,1,0.787,0.8,2.5,3.2,0.4,0.4,0.3,0.6,1.3,6.2
271,Rashard Lewis,34,MIA,60,6,16.2,1.6,3.9,0.415,0.8,2.2,0.343,0.9,1.7,0.51,0.513,0.4,0.6,0.788,0.4,1.4,1.8,1,0.9,0.1,0.6,1.5,4.5
272,DeAndre Liggins,25,MIA,1,0,1,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,0,0,0,0,2
273,Damian Lillard,23,POR,82,82,35.8,6.7,15.9,0.424,2.7,6.8,0.394,4.1,9.1,0.447,0.508,4.5,5.2,0.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.7
274,Jeremy Lin,25,HOU,71,33,28.9,4.2,9.3,0.446,1.2,3.2,0.358,3,6.1,0.492,0.508,3.1,3.7,0.823,0.5,2.2,2.6,4.1,1,0.4,2.5,2.3,12.5
275,Shaun Livingston,28,BRK,76,54,26,3.1,6.4,0.483,0,0.1,0.167,3.1,6.3,0.486,0.484,2.1,2.5,0.827,0.9,2.4,3.2,3.2,1.2,0.4,1.4,2.3,8.3
276,Brook Lopez,25,BRK,17,17,31.4,7.6,13.5,0.563,0,0.1,0,7.6,13.4,0.566,0.563,5.5,6.8,0.817,2.3,3.7,6,0.9,0.5,1.8,1.6,3.1,20.7
277,Robin Lopez,25,POR,82,82,31.7,4.3,7.9,0.551,0,0,0,4.3,7.8,0.552,0.551,2.4,3,0.818,4,4.6,8.5,0.9,0.3,1.7,1,2.4,11.1
278,Kevin Love,25,MIN,77,77,36.3,8.4,18.5,0.457,2.5,6.6,0.376,6,11.9,0.502,0.524,6.8,8.2,0.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1
279,Kyle Lowry,27,TOR,79,79,36.2,5.8,13.7,0.423,2.4,6.3,0.38,3.4,7.3,0.46,0.511,4,4.9,0.813,1.1,3.6,4.7,7.4,1.5,0.2,2.5,3.4,17.9
280,John Lucas III,31,UTA,42,6,14.1,1.5,4.5,0.326,0.6,2,0.298,0.9,2.5,0.349,0.392,0.2,0.4,0.625,0.3,0.6,0.9,1,0.3,0,0.5,1,3.8
281,Shelvin Mack,23,ATL,73,11,20.4,2.9,6.9,0.417,0.8,2.5,0.337,2,4.3,0.464,0.479,0.9,1,0.865,0.3,1.9,2.2,3.7,0.7,0,1.2,1.4,7.5
282,Ian Mahinmi,27,IND,77,1,16.2,1.2,2.5,0.481,0,0,0,1.2,2.4,0.484,0.481,1.2,1.9,0.621,1.4,1.9,3.3,0.3,0.5,0.9,0.8,2.7,3.5
283,Shawn Marion,35,DAL,76,76,31.7,4.5,9.3,0.482,0.8,2.1,0.358,3.7,7.2,0.518,0.523,0.7,0.9,0.785,1.7,4.8,6.5,1.6,1.2,0.5,1.3,1.6,10.4
284,Kendall Marshall,22,LAL,54,45,29,3.1,7.8,0.406,1.3,3.3,0.399,1.8,4.5,0.411,0.49,0.4,0.7,0.528,0.3,2.6,2.9,8.8,0.9,0.1,2.8,1.4,8
285,Cartier Martin,29,TOT,59,6,14.7,1.9,4.5,0.42,1,2.6,0.391,0.9,1.9,0.46,0.532,0.8,1.1,0.738,0.2,1.6,1.9,0.6,0.5,0.1,0.6,1.2,5.6
285,Cartier Martin,29,ATL,53,6,15.5,2,4.8,0.414,1.1,2.8,0.384,0.9,2.1,0.455,0.523,0.9,1.2,0.754,0.2,1.8,2,0.6,0.5,0.1,0.6,1.3,5.9
285,Cartier Martin,29,CHI,6,0,8,0.8,1.3,0.625,0.5,0.8,0.6,0.3,0.5,0.667,0.813,0.3,0.7,0.5,0.2,0.7,0.8,0.3,0.2,0,0.2,0.5,2.5
286,Kenyon Martin,36,NYK,32,15,19.8,2,3.8,0.512,0,0,0,2,3.8,0.516,0.512,0.3,0.6,0.579,1.1,3.1,4.2,1.6,0.8,0.8,0.8,2.7,4.3
287,Kevin Martin,30,MIN,68,68,32,6.5,15,0.43,1.7,4.4,0.387,4.8,10.7,0.448,0.486,4.5,5,0.891,0.5,2.5,3,1.8,1,0.1,1.6,1.8,19.1
288,Roger Mason,33,MIA,25,2,10.4,1,2.7,0.373,0.7,1.9,0.354,0.3,0.8,0.421,0.5,0.3,0.3,1,0,0.8,0.9,0.8,0.2,0,0.4,1,3
289,Wesley Matthews,27,POR,82,82,33.9,5.4,12.3,0.441,2.5,6.2,0.393,3,6.1,0.49,0.541,3.1,3.7,0.837,0.6,2.9,3.5,2.4,0.9,0.2,1.3,2.1,16.4
290,Jason Maxiell,30,ORL,34,13,14.4,1.4,3.1,0.448,0,0,,1.4,3.1,0.448,0.448,0.4,0.9,0.484,0.8,1.7,2.5,0.3,0.2,0.6,0.4,1.4,3.2
291,Eric Maynor,26,TOT,31,0,10.5,1,3.3,0.317,0.4,1.2,0.324,0.6,2.1,0.313,0.376,0.2,0.4,0.545,0.3,1,1.3,1.7,0.3,0.1,0.9,0.5,2.6
291,Eric Maynor,26,WAS,23,0,9.3,0.9,3.1,0.292,0.3,1.1,0.32,0.6,2,0.277,0.347,0.1,0.1,0.667,0.3,0.7,1,1.7,0.2,0,0.7,0.6,2.3
291,Eric Maynor,26,PHI,8,0,14,1.4,3.6,0.379,0.5,1.5,0.333,0.9,2.1,0.412,0.448,0.5,1,0.5,0.3,1.6,1.9,1.5,0.5,0.3,1.5,0.5,3.8
292,O.J. Mayo,26,MIL,52,23,25.9,4.3,10.6,0.407,1.6,4.4,0.37,2.7,6.2,0.433,0.484,1.5,1.7,0.864,0.5,1.9,2.4,2.2,0.5,0.3,1.8,2.1,11.7
293,Luc Mbah a Moute,27,TOT,64,7,15.7,1.4,3,0.451,0.1,0.3,0.235,1.3,2.8,0.472,0.461,0.7,1,0.687,0.9,1.4,2.3,0.6,0.5,0.2,0.6,1.1,3.5
293,Luc Mbah a Moute,27,SAC,9,5,21.8,1.7,3.6,0.469,0.1,0.3,0.333,1.6,3.2,0.483,0.484,1,1.4,0.692,1,2,3,1.7,1,0.6,0.4,2,4.4
293,Luc Mbah a Moute,27,MIN,55,2,14.7,1.3,2.9,0.447,0.1,0.3,0.214,1.3,2.7,0.469,0.457,0.7,1,0.685,0.9,1.3,2.2,0.4,0.4,0.2,0.7,0.9,3.3
294,Ray McCallum,22,SAC,45,10,19.9,2.5,6.7,0.377,0.5,1.3,0.373,2,5.4,0.378,0.413,0.7,1,0.744,0.4,1.4,1.8,2.7,0.5,0.2,0.9,1.5,6.2
295,CJ McCollum,22,POR,38,0,12.5,1.9,4.7,0.416,0.8,2.1,0.375,1.2,2.6,0.449,0.5,0.6,0.9,0.676,0.2,1.1,1.3,0.7,0.4,0.1,0.9,1.4,5.3
296,JaVale McGee,26,DEN,5,5,15.8,3.4,7.6,0.447,0,0,,3.4,7.6,0.447,0.447,0.2,0.2,1,2,1.4,3.4,0.4,0.2,1.4,1.6,3.2,7
297,Ben McLemore,20,SAC,82,55,26.7,3.1,8.3,0.376,1.2,3.6,0.32,2,4.7,0.419,0.446,1.4,1.7,0.804,0.6,2.2,2.9,1,0.5,0.2,1.2,2.5,8.8
298,Josh McRoberts,26,CHO,78,78,30.3,3.2,7.3,0.436,1.3,3.7,0.361,1.8,3.5,0.516,0.529,0.8,1.1,0.729,1.1,3.7,4.8,4.3,0.7,0.6,1.1,2.4,8.5
299,Jodie Meeks,26,LAL,77,70,33.2,5.4,11.6,0.463,2.1,5.2,0.401,3.3,6.3,0.514,0.554,2.9,3.4,0.857,0.4,2.1,2.5,1.8,1.4,0.1,1.4,1.5,15.7
300,Gal Mekel,25,DAL,31,1,9.4,1,2.8,0.349,0.2,0.6,0.25,0.8,2.1,0.379,0.378,0.3,0.4,0.667,0.2,0.7,0.9,2,0.1,0,1,1,2.4
301,Khris Middleton,22,MIL,82,64,30,4.6,10.4,0.44,1.5,3.5,0.414,3.1,6.9,0.454,0.511,1.4,1.7,0.861,0.7,3,3.8,2.1,1,0.2,1.5,3,12.1
302,C.J. Miles,26,CLE,51,34,19.3,3.5,8,0.435,1.6,4.1,0.393,1.9,3.9,0.48,0.537,1.3,1.5,0.853,0.4,1.7,2,1,0.9,0.3,0.9,2,9.9
303,Andre Miller,37,TOT,58,2,16.9,1.8,4,0.459,0.2,0.4,0.524,1.6,3.6,0.452,0.483,1,1.3,0.779,0.5,1.8,2.2,3.4,0.6,0.2,1.1,1.3,4.9
303,Andre Miller,37,DEN,30,2,19,2.2,4.8,0.458,0.3,0.6,0.5,1.9,4.2,0.452,0.49,1.2,1.6,0.745,0.5,1.9,2.4,3.3,0.5,0.2,1.1,1.1,5.9
303,Andre Miller,37,WAS,28,0,14.7,1.4,3.1,0.46,0.1,0.1,0.667,1.4,3,0.452,0.471,0.9,1.1,0.833,0.4,1.6,2,3.5,0.7,0.1,1,1.5,3.8
304,Darius Miller,23,NOP,45,7,16.1,1.6,3.7,0.44,0.6,1.7,0.325,1.1,2,0.539,0.515,0.6,0.8,0.806,0.2,1,1.2,1,0.5,0.2,0.5,2,4.4
305,Mike Miller,33,MEM,82,4,20.8,2.6,5.4,0.481,1.3,2.8,0.459,1.3,2.6,0.505,0.602,0.6,0.7,0.821,0.4,2.2,2.5,1.6,0.3,0.1,0.9,1.2,7.1
306,Quincy Miller,21,DEN,52,16,15.2,1.8,4.9,0.367,0.6,1.8,0.319,1.2,3.1,0.395,0.426,0.8,1.1,0.709,0.7,2.1,2.8,0.5,0.4,0.6,0.9,1.3,4.9
307,Patty Mills,25,SAS,81,2,18.9,3.8,8.2,0.464,1.7,3.9,0.425,2.1,4.3,0.5,0.565,0.9,1,0.89,0.4,1.7,2.1,1.8,0.8,0.1,0.8,1.4,10.2
308,Paul Millsap,28,ATL,74,73,33.5,6.5,14.1,0.461,1,2.9,0.358,5.5,11.3,0.487,0.498,3.9,5.3,0.731,2.1,6.4,8.5,3.1,1.7,1.1,2.5,2.8,17.9
309,Tony Mitchell,21,DET,21,0,3.8,0.2,0.6,0.417,0,0,1,0.2,0.5,0.364,0.458,0.5,0.9,0.579,0.7,0.5,1.2,0.1,0.3,0.1,0.2,0.4,1
310,Tony Mitchell,24,MIL,3,0,3.3,1,1.7,0.6,0,0.3,0,1,1.3,0.75,0.6,0,0,,0.3,0,0.3,0.3,0.3,0,0,0,2
311,Nazr Mohammed,36,CHI,80,1,7,0.7,1.6,0.429,0,0,,0.7,1.6,0.429,0.429,0.2,0.4,0.533,0.8,1.4,2.2,0.3,0.2,0.4,0.5,1,1.6
312,Greg Monroe,23,DET,82,82,32.8,6.1,12.4,0.497,0,0,0,6.1,12.4,0.497,0.497,2.9,4.5,0.657,3.1,6.1,9.3,2.1,1.1,0.6,2,2.5,15.2
313,E'Twaun Moore,24,ORL,79,3,19.1,2.5,5.8,0.428,0.7,2,0.354,1.7,3.7,0.468,0.49,0.7,0.9,0.765,0.4,1.4,1.7,1.4,0.8,0.2,0.7,1.3,6.3
314,Darius Morris,23,TOT,27,0,11.6,1.4,3.6,0.406,0.4,1.4,0.316,1,2.1,0.466,0.469,0.6,1,0.654,0.3,0.7,1,1.6,0.5,0,1,1.2,4
314,Darius Morris,23,PHI,12,0,16.1,2.4,5.6,0.433,0.8,2,0.417,1.6,3.6,0.442,0.507,1.3,1.8,0.714,0.3,0.8,1.1,2.6,0.7,0,1.6,1.8,6.9
314,Darius Morris,23,LAC,10,0,5.4,0.4,1.3,0.308,0,0.7,0,0.4,0.6,0.667,0.308,0.1,0.2,0.5,0,0.5,0.5,0.5,0.2,0,0.2,0.9,0.9
314,Darius Morris,23,MEM,5,0,13.2,1.2,3.2,0.375,0.4,1.4,0.286,0.8,1.8,0.444,0.438,0.2,0.6,0.333,0.8,0.8,1.6,1.6,0.6,0,1.2,0.6,3
315,Marcus Morris,24,PHO,82,1,22,3.5,7.9,0.442,1.2,3.2,0.381,2.3,4.8,0.483,0.518,1.5,1.9,0.761,1,2.9,3.9,1.1,0.9,0.2,1.2,1.9,9.7
316,Markieff Morris,24,PHO,81,0,26.6,5.1,10.4,0.486,0.4,1.3,0.315,4.7,9.1,0.512,0.507,3.2,4,0.792,1.7,4.3,6,1.8,0.8,0.6,1.8,2.9,13.8
317,Anthony Morrow,28,NOP,76,9,18.8,3.1,6.8,0.458,1.2,2.6,0.451,2,4.3,0.462,0.542,0.9,1.1,0.828,0.4,1.5,1.8,0.8,0.5,0.2,0.7,1.3,8.4
318,Donatas Motiejunas,23,HOU,62,3,15.4,2.1,4.8,0.443,0.3,1.4,0.25,1.8,3.4,0.519,0.478,0.9,1.5,0.604,1,2.7,3.6,0.5,0.3,0.3,0.8,2.1,5.5
319,Arnett Moultrie,23,PHI,12,2,15.6,1.3,3.2,0.421,0,0,,1.3,3.2,0.421,0.421,0.3,0.4,0.8,0.9,2,2.9,0.2,0.7,0.3,0.6,1.8,3
320,Timofey Mozgov,27,DEN,82,30,21.6,3.5,6.6,0.523,0,0.3,0.167,3.4,6.4,0.539,0.527,2.4,3.2,0.754,2.1,4.4,6.4,0.8,0.3,1.2,1.5,2.6,9.4
321,Shabazz Muhammad,21,MIN,37,0,7.8,1.5,3.4,0.46,0.1,0.3,0.273,1.5,3.1,0.478,0.472,0.7,1.1,0.65,0.6,0.8,1.4,0.2,0.2,0,0.4,0.6,3.9
322,Byron Mullens,24,TOT,45,0,9.2,1.6,3.7,0.442,0.7,2,0.371,0.9,1.7,0.526,0.542,0.2,0.4,0.5,0.5,1.5,2,0.3,0.3,0.2,0.6,1.4,4.2
322,Byron Mullens,24,LAC,27,0,6.2,1,2.4,0.406,0.5,1.4,0.333,0.5,0.9,0.52,0.508,0.1,0.2,0.333,0.3,0.9,1.2,0.2,0.2,0.1,0.5,1.2,2.5
322,Byron Mullens,24,PHI,18,0,13.7,2.6,5.6,0.465,1.1,2.8,0.4,1.5,2.8,0.529,0.564,0.4,0.8,0.571,0.9,2.4,3.3,0.4,0.5,0.4,0.8,1.7,6.8
323,Erik Murphy,23,CHI,24,0,2.6,0.1,0.5,0.231,0,0.1,0,0.1,0.4,0.3,0.231,0,0,,0.1,0.3,0.3,0.1,0,0.2,0.1,0.3,0.3
324,Toure' Murry,24,NYK,51,0,7.3,1.1,2.5,0.434,0.1,0.2,0.417,1,2.3,0.436,0.453,0.5,0.8,0.59,0.3,0.6,0.9,1,0.4,0,0.7,0.9,2.7
325,Mike Muscala,22,ATL,20,0,10.8,1.6,3.7,0.425,0,0.2,0,1.6,3.5,0.443,0.425,0.7,0.7,1,0.9,1.8,2.6,0.4,0.2,0.5,0.6,1.5,3.8
326,Hamady N'Diaye,27,SAC,14,0,5.3,0.2,0.6,0.333,0,0,,0.2,0.6,0.333,0.333,0,0.1,0,0.4,0.9,1.3,0.2,0,0.3,0.2,1.1,0.4
327,Steve Nash*,39,LAL,15,10,20.9,2.4,6.3,0.383,0.5,1.6,0.333,1.9,4.7,0.4,0.426,1.5,1.6,0.917,0.3,1.7,1.9,5.7,0.5,0.1,2.1,1.2,6.8
328,Gary Neal,29,TOT,52,3,21.4,3.7,9.1,0.41,1.3,3.5,0.378,2.4,5.6,0.43,0.482,1.8,2,0.895,0.2,1.5,1.7,1.6,0.3,0,1.2,1.3,10.5
328,Gary Neal,29,MIL,30,2,20.2,3.6,9.2,0.39,1.3,3.7,0.36,2.3,5.5,0.41,0.462,1.5,1.8,0.833,0.3,1.4,1.7,1.5,0.2,0,1.3,0.9,10
328,Gary Neal,29,CHO,22,1,23,3.9,8.8,0.438,1.3,3.1,0.406,2.6,5.7,0.456,0.51,2.2,2.3,0.961,0.1,1.7,1.8,1.7,0.5,0,1.1,1.8,11.2
329,Nemanja Nedovic,22,GSW,24,0,5.9,0.3,1.6,0.205,0.1,0.8,0.167,0.2,0.9,0.238,0.244,0.3,0.3,0.875,0.1,0.5,0.6,0.5,0,0,0.5,0.5,1.1
330,Jameer Nelson,31,ORL,68,68,32,4.3,11,0.394,2,5.8,0.348,2.3,5.2,0.444,0.485,1.4,1.6,0.857,0.4,3,3.4,7,0.8,0.1,2.4,2.1,12.1
331,Andrew Nicholson,24,ORL,76,5,15.4,2.4,5.5,0.429,0.4,1.2,0.315,2,4.4,0.459,0.462,0.6,0.8,0.825,0.7,2.7,3.4,0.3,0.2,0.3,0.7,2,5.7
332,Joakim Noah,28,CHI,80,80,35.3,4.8,10,0.475,0,0,0,4.8,10,0.476,0.475,3.1,4.2,0.737,3.5,7.7,11.3,5.4,1.2,1.5,2.4,3.1,12.6
333,Steve Novak,30,TOR,54,1,10,1.1,2.7,0.411,1,2.3,0.426,0.1,0.4,0.333,0.589,0.1,0.1,1,0.1,0.9,1.1,0.2,0.2,0.1,0.1,0.8,3.3
334,Dirk Nowitzki,35,DAL,80,80,32.9,7.9,15.9,0.497,1.6,4.1,0.398,6.3,11.8,0.532,0.549,4.2,4.7,0.899,0.5,5.7,6.2,2.7,0.9,0.6,1.5,2.1,21.7
335,James Nunnally,23,TOT,13,0,12.7,1.2,3.5,0.326,0.6,1.9,0.32,0.5,1.6,0.333,0.413,0.5,0.7,0.667,0.1,1.4,1.5,0.6,0.5,0.2,0.5,0.8,3.4
335,James Nunnally,23,ATL,4,0,13.5,1.5,4.5,0.333,0.8,2.5,0.3,0.8,2,0.375,0.417,0.8,1,0.75,0.3,1.8,2,0.5,0.3,0.3,1,0.5,4.5
335,James Nunnally,23,PHI,9,0,12.3,1,3.1,0.321,0.6,1.7,0.333,0.4,1.4,0.308,0.411,0.3,0.6,0.6,0,1.2,1.2,0.7,0.6,0.1,0.3,1,2.9
336,Jermaine O'Neal,35,GSW,44,13,20.1,2.8,5.6,0.504,0,0,,2.8,5.6,0.504,0.504,2.3,3,0.75,1.9,3.6,5.5,0.6,0.3,0.9,1.2,2.3,7.9
337,Kyle O'Quinn,23,ORL,69,19,17.2,2.7,5.4,0.501,0,0,0,2.7,5.3,0.505,0.501,0.8,1.2,0.687,1.4,3.8,5.3,1.1,0.6,1.3,1.1,2.4,6.2
338,Greg Oden,26,MIA,23,6,9.2,1.2,2.1,0.551,0,0,,1.2,2.1,0.551,0.551,0.6,1,0.565,1,1.3,2.3,0,0.3,0.6,0.5,2.3,2.9
339,Victor Oladipo,21,ORL,80,44,31.1,4.9,11.7,0.419,0.9,2.8,0.327,4,8.9,0.448,0.458,3.1,4,0.78,0.5,3.6,4.1,4.1,1.6,0.5,3.2,2.6,13.8
340,Kelly Olynyk,22,BOS,70,9,20,3.3,7.2,0.466,0.6,1.6,0.351,2.8,5.5,0.5,0.506,1.4,1.7,0.811,2,3.2,5.2,1.6,0.5,0.4,1.5,3.2,8.7
341,Arinze Onuaku,26,TOT,5,0,6,0.2,1,0.2,0,0,,0.2,1,0.2,0.2,0.2,0.4,0.5,0.4,1.2,1.6,0.6,0,0,0.2,0.6,0.6
341,Arinze Onuaku,26,NOP,3,0,8.3,0.3,1.3,0.25,0,0,,0.3,1.3,0.25,0.25,0.3,0.7,0.5,0.7,1.7,2.3,1,0,0,0.3,1,1
341,Arinze Onuaku,26,CLE,2,0,2.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0.5,0.5,0,0,0,0,0,0
342,Daniel Orton,23,PHI,22,4,11.4,1,2.1,0.447,0,0,,1,2.1,0.447,0.447,1,1.4,0.767,0.7,2,2.8,0.7,0.3,0.7,0.8,1.7,3
343,Travis Outlaw,29,SAC,63,4,16.9,2.1,5.2,0.399,0.7,1.9,0.35,1.4,3.3,0.426,0.462,0.7,0.8,0.808,0.6,2.1,2.7,0.8,0.3,0.3,0.4,1.5,5.4
344,Zaza Pachulia,29,MIL,53,43,25,2.8,6.6,0.427,0,0,0,2.8,6.6,0.428,0.427,2.1,2.5,0.846,2.7,3.6,6.3,2.6,0.8,0.3,1.7,2.3,7.7
345,Jannero Pargo,34,CHO,29,0,8.3,1.8,4.1,0.441,0.8,2.1,0.4,1,2,0.483,0.542,0.3,0.4,0.727,0,0.7,0.7,1.8,0.5,0,0.9,0.6,4.7
346,Tony Parker,31,SAS,68,68,29.4,6.7,13.4,0.499,0.4,1,0.373,6.3,12.5,0.509,0.513,2.9,3.6,0.811,0.3,2,2.3,5.7,0.5,0.1,2.2,1.3,16.7
347,Chandler Parsons,25,HOU,74,74,37.6,6.3,13.3,0.472,1.8,4.7,0.37,4.5,8.6,0.528,0.538,2.2,3,0.742,0.9,4.6,5.5,4,1.2,0.4,1.9,2.3,16.6
348,Patrick Patterson,24,TOT,65,13,23.6,3.5,7.5,0.46,0.8,2.3,0.364,2.6,5.2,0.503,0.516,0.8,1.1,0.704,1.8,3.5,5.3,1.2,0.8,0.6,1,2.4,8.5
348,Patrick Patterson,24,SAC,17,6,24.4,2.9,7.2,0.41,0.5,2.3,0.231,2.4,4.9,0.494,0.447,0.5,0.9,0.563,2,3.8,5.8,0.9,0.8,0.2,0.9,2.3,6.9
348,Patrick Patterson,24,TOR,48,7,23.3,3.6,7.6,0.477,1,2.3,0.411,2.7,5.3,0.506,0.54,0.9,1.1,0.745,1.7,3.3,5.1,1.3,0.9,0.7,1,2.5,9.1
349,Chris Paul,28,LAC,62,62,35,6.5,14,0.467,1.3,3.4,0.368,5.3,10.6,0.498,0.511,4.8,5.6,0.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1
350,Nikola Pekovic,28,MIN,54,54,30.8,7,13,0.541,0,0,,7,13,0.541,0.541,3.4,4.6,0.747,3.8,4.9,8.7,0.9,0.6,0.4,1.6,2.4,17.5
351,Kendrick Perkins,29,OKC,62,62,19.5,1.4,3.1,0.451,0,0,0,1.4,3.1,0.453,0.451,0.6,1.1,0.552,1.3,3.6,4.9,1.1,0.4,0.5,1.5,2.9,3.4
352,Paul Pierce,36,BRK,75,68,28,4.3,9.5,0.451,1.5,4,0.373,2.8,5.5,0.507,0.529,3.4,4.1,0.826,0.3,4.3,4.6,2.4,1.1,0.4,2,2.5,13.5
353,Dexter Pittman,25,ATL,2,0,1.5,0,0.5,0,0,0,,0,0.5,0,0,0,1,0,1.5,0,1.5,0,0,0,0,0,0
354,Mason Plumlee,23,BRK,70,22,18.2,2.8,4.3,0.659,0,0,0,2.8,4.3,0.666,0.659,1.7,2.8,0.626,1.4,3,4.4,0.9,0.7,0.8,1.1,2.4,7.4
355,Miles Plumlee,25,PHO,80,79,24.6,3.6,6.9,0.517,0,0,,3.6,6.9,0.517,0.517,0.9,1.7,0.561,2.5,5.4,7.8,0.5,0.6,1.1,1.4,2.3,8.1
356,Quincy Pondexter,25,MEM,15,2,18,2.1,5.3,0.392,0.7,2.3,0.324,1.3,3,0.444,0.462,1.4,1.7,0.808,0.7,1.1,1.7,1.3,0.3,0.1,1,1.2,6.3
357,Otto Porter,20,WAS,37,0,8.6,0.9,2.5,0.363,0.1,0.6,0.19,0.8,1.9,0.414,0.385,0.2,0.3,0.667,0.6,1,1.5,0.3,0.2,0,0.4,0.7,2.1
358,Josh Powell,31,HOU,1,0,19,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,0,5,5,0,0,1,1,1,4
359,Phil Pressey,22,BOS,75,11,15.1,1,3.4,0.308,0.4,1.4,0.264,0.7,2,0.34,0.364,0.4,0.6,0.644,0.3,1.1,1.4,3.2,0.9,0.1,1.2,1.3,2.8
360,A.J. Price,27,MIN,28,0,3.5,0.7,1.6,0.413,0.2,0.8,0.273,0.5,0.9,0.542,0.478,0,0.1,0,0,0.3,0.4,0.5,0,0,0.3,0.2,1.6
361,Ronnie Price,30,ORL,31,2,12.2,0.9,3,0.304,0.3,1.4,0.209,0.6,1.6,0.388,0.353,0.3,0.4,0.692,0.3,1.1,1.4,2.1,0.8,0.1,0.8,1.6,2.4
362,Pablo Prigioni,36,NYK,66,27,19.4,1.3,2.9,0.461,1,2.1,0.464,0.3,0.8,0.451,0.631,0.2,0.2,0.917,0.5,1.4,2,3.5,1,0,0.9,2,3.8
363,Tayshaun Prince,33,MEM,76,76,25.6,2.6,6.5,0.407,0.3,0.9,0.29,2.4,5.6,0.426,0.427,0.4,0.8,0.567,0.4,2.7,3.1,1.6,0.5,0.3,0.5,0.8,6
364,Miroslav Raduljica,26,MIL,48,2,9.7,1.4,2.6,0.54,0,0,,1.4,2.6,0.54,0.54,0.9,1.1,0.818,1.1,1.1,2.3,0.5,0.1,0.3,0.6,1.8,3.8
365,Anthony Randolph,24,DEN,43,5,12.3,1.6,4.1,0.386,0.4,1.4,0.295,1.2,2.7,0.435,0.438,1.2,1.6,0.754,0.5,2.4,2.8,0.7,0.6,0.4,0.9,1.5,4.8
366,Shavlik Randolph,30,PHO,14,0,6.8,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.4,0.8,0.545,0.5,1.3,1.8,0.1,0.2,0.1,0.4,1.1,1.4
367,Zach Randolph,32,MEM,79,79,34.2,7.1,15.2,0.467,0,0.3,0.1,7.1,14.9,0.474,0.468,3.2,4.3,0.742,3.4,6.7,10.1,2.5,0.7,0.3,2.3,2.7,17.4
368,J.J. Redick,29,LAC,35,34,28.2,5.2,11.4,0.455,2.1,5.3,0.395,3.1,6.1,0.507,0.546,2.8,3,0.915,0.3,1.9,2.1,2.2,0.8,0.1,1.2,1.9,15.2
369,Glen Rice,23,WAS,11,1,9.9,1,3.4,0.297,0.5,1.5,0.294,0.5,1.8,0.3,0.365,0.5,0.6,0.714,0.4,1.5,1.8,0.6,0.5,0.1,0.8,0.6,2.9
370,Luke Ridnour,32,TOT,61,14,18.7,2.1,5.4,0.385,0.6,1.8,0.343,1.5,3.6,0.406,0.442,0.3,0.4,0.654,0.4,1.2,1.6,2.9,0.5,0.1,1.1,1.5,5
