,season,team_alias,game_id,team_game_score,assists/score,differencestrash,w/l_ratio,star_power,differences,win_count
87,2013,FLA,1160.0,69.92307692307692,0.18414941565402193,-1.641025641025641,0.9230769230769231,1.9874358974358972,-14.466666666666667,36
330,2013,WICH,874.0571428571428,74.65714285714286,0.18333686930427523,13.8,0.9714285714285714,1.9791428571428575,-17.0,34
11,2013,ARIZ,1012.4473684210526,72.86842105263158,0.20560497454143367,5.815789473684211,0.868421052631579,1.6892105263157895,-14.31578947368421,33
51,2013,CONN,1065.2,71.825,0.16856766202680531,4.325,0.8,2.1445,-9.2,32
145,2013,LOU,1074.4054054054054,81.02702702702703,0.18920637068406654,15.555555555555555,0.8378378378378378,1.9416216216216209,-18.47826086956522,31
315,2013,UVA,863.081081081081,66.1891891891892,0.19645616227772747,8.027027027027026,0.8108108108108109,1.6894594594594594,-6.8,30
332,2013,WIS,1041.7105263157894,73.44736842105263,0.16724761544447367,9.5,0.7894736842105263,1.8136842105263156,-7.0,30
173,2013,MSU,905.5526315789474,75.52631578947368,0.22081560311857587,9.105263157894736,0.7631578947368421,2.1978947368421053,-11.238095238095237,29
283,2013,UK,934.775,74.8,0.14967532640542683,7.775,0.725,1.7999999999999996,-11.333333333333334,29
321,2013,VILL,1004.7941176470588,77.97058823529412,0.19651974398142977,10.235294117647058,0.8529411764705882,1.806764705882353,-15.0,29
122,2013,ISU,1058.5277777777778,82.55555555555556,0.2215580374443818,10.25,0.7777777777777778,1.9080555555555554,-8.28,28
159,2013,MICH,1084.8648648648648,73.94594594594595,0.18994446758562555,5.918918918918919,0.7567567567567568,1.895675675675676,-7.761904761904762,28
258,2013,SYR,880.6764705882352,67.97058823529412,0.17274197270530034,6.852941176470588,0.8235294117647058,1.9661764705882352,-10.5,28
279,2013,UCLA,880.1621621621622,81.16216216216216,0.21095618443167097,9.891891891891891,0.7567567567567568,1.846216216216216,-10.0,28
43,2013,CIN,942.6764705882352,68.38235294117646,0.1797868155770222,-0.17647058823529413,0.7941176470588235,2.3844117647058827,-8.129032258064516,27
56,2013,CREI,1030.0,78.74285714285715,0.22131555488573101,12.371428571428572,0.7714285714285715,2.9054285714285704,-8.148148148148149,27
235,2013,SDSU,946.34375,67.8125,0.13156037394294262,0.84375,0.84375,2.1496875,-10.333333333333334,27
71,2013,DUKE,936.4,78.42857142857143,0.18539936062650095,9.228571428571428,0.7428571428571429,1.9505714285714284,-11.689655172413794,26
210,2013,PITT,909.6111111111111,71.83333333333333,0.2189166472191284,7.361111111111111,0.7222222222222222,1.9783333333333337,-12.214285714285714,26
251,2013,SMU,914.5833333333334,71.11111111111111,0.21256980531296926,5.888888888888889,0.7222222222222222,1.7786111111111111,-11.266666666666667,26
132,2013,KU,1119.4,78.97142857142858,0.1869555611918794,7.171428571428572,0.7142857142857143,2.0319999999999996,-9.0,25
205,2013,OSU,864.9714285714285,69.48571428571428,0.1730093282466072,5.9714285714285715,0.7142857142857143,1.8771428571428568,-13.0,25
19,2013,BAY,867.5555555555555,73.5,0.1953207250057542,3.111111111111111,0.6666666666666666,1.7555555555555558,-5.694444444444445,24
202,2013,ORE,962.2647058823529,81.8529411764706,0.17552549417143953,13.058823529411764,0.7058823529411765,2.011176470588236,-8.80952380952381,24
289,2013,UNC,1056.1176470588234,76.58823529411765,0.20297587901419062,4.764705882352941,0.7058823529411765,1.8894117647058821,-13.333333333333334,24
45,2013,CLEM,898.0555555555555,63.52777777777778,0.16991139811241132,-7.333333333333333,0.6388888888888888,2.1769444444444446,-5.032258064516129,23
50,2013,COLO,932.1714285714286,70.2,0.15765199116350384,2.1142857142857143,0.6571428571428571,1.897428571428571,-4.16,23
156,2013,MEM,959.4242424242424,76.15151515151516,0.22225935278959116,7.181818181818182,0.696969696969697,1.613636363636364,-10.578947368421053,23
161,2013,MINN,968.3611111111111,70.66666666666667,0.19645893020886898,2.7777777777777777,0.6388888888888888,1.9297222222222221,-4.375,23
163,2013,MIZZ,994.2285714285714,72.94285714285714,0.13773361883562218,0.7428571428571429,0.6571428571428571,2.110285714285714,-4.285714285714286,23
200,2013,OKLA,1042.7878787878788,81.93939393939394,0.17962633553940066,10.272727272727273,0.696969696969697,1.9299999999999993,-8.733333333333333,23
214,2013,PROV,925.8571428571429,73.31428571428572,0.18520588441098443,2.8,0.6571428571428571,2.1159999999999997,1.4615384615384615,23
254,2013,STAN,1009.3055555555555,72.66666666666667,0.15599956201211662,3.7222222222222223,0.6388888888888888,2.020277777777778,-8.5,23
261,2013,TENN,966.4166666666666,71.5,0.1700134516896824,6.138888888888889,0.6388888888888888,2.1341666666666668,-9.357142857142858,23
634,2014,UK,4781.410256410257,74.35897435897436,0.18849522808229227,19.487179487179485,0.9743589743589743,1.6894871794871795,-20.4,38
683,2014,WIS,4510.125,72.5,0.17483291301865095,14.325,0.9,1.9372500000000001,,36
417,2014,DUKE,5152.641025641025,79.25641025641026,0.1872920504153145,13.025641025641026,0.8974358974358975,1.8687179487179486,-14.685714285714285,35
356,2014,ARIZ,4655.0526315789475,76.60526315789474,0.18031532263134342,11.81578947368421,0.8947368421052632,1.5773684210526315,-16.92105263157895,34
443,2014,GONZ,4886.810810810811,77.83783783783784,0.20560809484833958,8.297297297297296,0.918918918918919,1.8381081081081074,-18.580645161290324,34
672,2014,VILL,4855.777777777777,76.5,0.205369302077817,15.833333333333334,0.9166666666666666,1.7716666666666667,-14.0,33
530,2014,ND,4669.631578947368,77.97368421052632,0.19429242422751805,12.947368421052632,0.8421052631578947,1.7321052631578946,-7.6923076923076925,32
648,2014,UNI,4506.057142857143,65.17142857142858,0.18129363569796336,10.0,0.8857142857142857,1.906,-6.4,31
666,2014,UVA,4802.176470588235,65.41176470588235,0.1932580222400014,13.352941176470589,0.8823529411764706,1.7761764705882352,-13.8,30
681,2014,WICH,5028.558823529412,69.26470588235294,0.19332059973182822,11.882352941176471,0.8529411764705882,1.8826470588235296,,29
501,2014,MD,4632.571428571428,69.05714285714286,0.1557703371833086,2.142857142857143,0.8,2.0439999999999996,-6.423076923076923,28
357,2014,ARK,5057.972222222223,77.41666666666667,0.20586668384546994,9.11111111111111,0.75,1.9419444444444436,-7.117647058823529,27
409,2014,DAY,5469.027777777777,67.75,0.19911135218303805,4.777777777777778,0.75,1.8602777777777777,-8.357142857142858,27
479,2014,KU,4988.916666666667,71.13888888888889,0.1823111090616022,5.583333333333333,0.75,1.8777777777777773,-6.88,27
492,2014,LOU,5013.972222222223,68.97222222222223,0.1657035094113963,6.805555555555555,0.75,2.171666666666667,-6.24,27
520,2014,MSU,4827.615384615385,71.1025641025641,0.2300190824008715,3.9743589743589745,0.6923076923076923,1.952564102564102,-8.105263157894736,27
523,2014,MURR,5144.424242424242,77.96969696969697,0.19613431792510722,13.545454545454545,0.8181818181818182,2.0757575757575757,-7.277777777777778,27
546,2014,ODU,4646.714285714285,64.94285714285714,0.20669351062758687,1.9142857142857144,0.7714285714285715,2.2517142857142853,-6.647058823529412,27
