,season,game_id,team_alias,team_game_score,w/l_ratio
161,2013,80,NJIT,55.0,L
162,2013,81,ND,84.0,W
163,2013,81,SCU,69.0,L
164,2013,82,ASU,79.0,W
165,2013,82,MARQ,77.0,L
166,2013,83,PITT,45.0,L
167,2013,83,UVA,48.0,W
168,2013,84,SJU,96.0,W
169,2013,84,YSU,87.0,L
170,2013,85,BAY,74.0,W
171,2013,85,ISU,61.0,L
172,2013,86,ARIZ,67.0,W
173,2013,86,UTAH,63.0,L
174,2013,87,ISU,70.0,L
175,2013,87,KU,77.0,W
176,2013,88,PITT,54.0,L
177,2013,88,SYR,59.0,W
178,2013,89,KU,80.0,W
179,2013,89,OKST,78.0,L
180,2013,90,BC,42.0,L
181,2013,90,MIA,69.0,W
182,2013,91,BUT,62.0,L
183,2013,91,MARQ,69.0,W
184,2013,92,MASS,96.0,W
185,2013,92,NEB,90.0,L
186,2013,93,ALA,59.0,L
187,2013,93,TENN,76.0,W
188,2013,94,PROV,65.0,L
189,2013,94,UK,79.0,W
190,2013,95,MISS,75.0,W
191,2013,95,ULM,62.0,L
192,2013,96,CSF,66.0,L
193,2013,96,MARQ,86.0,W
194,2013,97,DUKE,93.0,W
195,2013,97,UNC,81.0,L
196,2013,98,PROV,84.0,W
197,2013,98,SJU,83.0,L
198,2013,99,LAS,74.0,W
199,2013,99,TEM,68.0,L
200,2013,100,BUT,69.0,W
201,2013,100,MARQ,57.0,L
202,2013,101,ASU,74.0,W
203,2013,101,ORE,72.0,L
204,2013,102,COFC,54.0,L
205,2013,102,MIA,70.0,W
206,2013,103,MISS,72.0,W
207,2013,103,MTU,63.0,L
208,2013,104,COLO,64.0,W
209,2013,104,ORST,58.0,L
210,2013,105,LEH,62.0,L
211,2013,105,MINN,81.0,W
212,2013,106,NEV,84.0,L
213,2013,106,UCLA,105.0,W
214,2013,107,OKST,84.0,W
215,2013,107,TTU,62.0,L
216,2013,108,LOU,69.0,W
217,2013,108,USM,38.0,L
218,2013,109,DAY,72.0,W
219,2013,109,SLU,67.0,L
220,2013,110,VMI,92.0,L
221,2013,110,VT,105.0,W
222,2013,111,ARIZ,63.0,L
223,2013,111,WIS,64.0,W
224,2013,112,ARST,70.0,L
225,2013,112,COLO,93.0,W
226,2013,113,FSU,66.0,L
227,2013,113,UVA,78.0,W
228,2013,114,CLEM,57.0,L
229,2013,114,WAKE,62.0,W
230,2013,115,MILW,53.0,L
231,2013,115,VILL,73.0,W
232,2013,116,FLA,86.0,W
233,2013,116,JAC,60.0,L
234,2013,117,ASU,58.0,L
235,2013,117,STAN,79.0,W
236,2013,118,SDSU,58.0,L
237,2013,118,UNM,64.0,W
238,2013,119,HALL,78.0,W
239,2013,119,KENT,76.0,L
240,2013,120,ILL,58.0,L
241,2013,120,PUR,66.0,W
242,2013,121,MD,55.0,L
243,2013,121,SYR,57.0,W
244,2013,122,ALA,64.0,W
245,2013,122,RMU,56.0,L
246,2013,123,UNC,81.0,W
247,2013,123,UNCG,50.0,L
248,2013,124,MINN,81.0,W
249,2013,124,WIS,68.0,L
250,2013,125,EVAN,60.0,L
251,2013,125,XAV,63.0,W
252,2013,126,CLEM,56.0,L
253,2013,126,MASS,62.0,W
254,2013,127,GT,42.0,L
255,2013,127,MIA,56.0,W
256,2013,128,SMU,68.0,W
257,2013,128,UCI,54.0,L
258,2013,129,BYU,62.0,L
259,2013,129,WICH,75.0,W
260,2013,130,UTAH,67.0,W
261,2013,130,WASH,61.0,L
262,2013,131,FDU,71.0,L
263,2013,131,RUTG,72.0,W
264,2013,132,NCST,45.0,L
265,2013,132,UVA,76.0,W
266,2013,133,MD,59.0,L
267,2013,133,PITT,79.0,W
268,2013,134,AUB,62.0,L
269,2013,134,ILL,81.0,W
270,2013,135,HOU,89.0,W
271,2013,135,TEM,79.0,L
272,2013,136,HART,67.0,L
273,2013,136,WASH,73.0,W
274,2013,137,UCLA,83.0,W
275,2013,137,WEB,60.0,L
276,2013,138,PUR,70.0,L
277,2013,138,WIS,74.0,W
278,2013,139,ND,53.0,L
279,2013,139,UVA,68.0,W
280,2013,140,GMU,85.0,L
281,2013,140,SLU,89.0,W
282,2013,141,SCAR,67.0,L
283,2013,141,TXAM,75.0,W
284,2013,142,BUT,68.0,L
285,2013,142,XAV,79.0,W
286,2013,143,FLA,76.0,W
287,2013,143,SAV,34.0,L
288,2013,144,ARIZ,71.0,W
289,2013,144,UTAH,39.0,L
290,2013,145,ORE,91.0,W
291,2013,145,UCI,63.0,L
292,2013,146,ARK,110.0,W
293,2013,146,MISS,80.0,L
294,2013,147,MISS,69.0,W
295,2013,147,TROY,54.0,L
296,2013,148,HOU,88.0,W
297,2013,148,UCF,84.0,L
298,2013,149,UGA,54.0,L
299,2013,149,UK,79.0,W
300,2013,150,BC,62.0,W
301,2013,150,SYR,59.0,L
302,2013,151,SMU,58.0,W
303,2013,151,UCF,46.0,L
304,2013,152,ORST,81.0,W
305,2013,152,STAN,72.0,L
306,2013,153,CIT,62.0,L
307,2013,153,NEB,77.0,W
308,2013,154,NAU,63.0,L
309,2013,154,USC,67.0,W
310,2013,155,ND,61.0,L
311,2013,155,OSU,64.0,W
312,2013,156,CIN,56.0,L
313,2013,156,CONN,58.0,W
314,2013,157,AKR,83.0,W
315,2013,157,ORST,71.0,L
316,2013,158,LBSU,66.0,L
317,2013,158,NCST,76.0,W
318,2013,159,ORU,67.0,L
319,2013,159,WIS,76.0,W
320,2013,160,KSU,65.0,W
321,2013,160,TCU,53.0,L
322,2013,161,ASU,76.0,L
323,2013,161,ORST,78.0,W
324,2013,162,ARK,86.0,W
325,2013,162,AUB,67.0,L
326,2013,163,INST,83.0,W
327,2013,163,ND,70.0,L
328,2013,164,BAY,67.0,W
329,2013,164,UK,62.0,L
330,2013,165,SDST,60.0,L
331,2013,165,STAN,92.0,W
332,2013,166,UCLA,69.0,L
333,2013,166,UTAH,74.0,W
334,2013,167,LSU,67.0,L
335,2013,167,UK,85.0,W
336,2013,168,EKY,61.0,L
337,2013,168,WIS,86.0,W
338,2013,169,ASU,70.0,L
339,2013,169,STAN,76.0,W
340,2013,170,ALA,76.0,W
341,2013,170,UNF,48.0,L
342,2013,171,MIZZ,66.0,W
343,2013,171,WMU,60.0,L
344,2013,172,OKLA,72.0,W
345,2013,172,WVU,62.0,L
346,2013,173,HALL,71.0,W
347,2013,173,XAV,62.0,L
348,2013,174,BYU,86.0,W
349,2013,174,TEX,82.0,L
350,2013,175,CCAR,59.0,L
351,2013,175,UVA,70.0,W
352,2013,176,NW,63.0,W
353,2013,176,PUR,60.0,L
354,2013,177,COLO,73.0,L
355,2013,177,OKST,78.0,W
356,2013,178,ILL,46.0,L
357,2013,178,IND,56.0,W
358,2013,179,MISS,84.0,W
359,2013,179,NCAT,50.0,L
360,2013,180,ND,58.0,L
361,2013,180,WAKE,65.0,W
362,2013,181,HALL,74.0,L
363,2013,181,PROV,80.0,W
364,2013,182,DAV,58.0,L
365,2013,182,UNM,79.0,W
366,2013,183,CIN,57.0,L
367,2013,183,HARV,61.0,W
368,2013,184,CREI,96.0,W
369,2013,184,VILL,68.0,L
370,2013,185,BRAD,57.0,L
371,2013,185,USF,61.0,W
372,2013,186,GW,55.0,L
373,2013,186,KSU,72.0,W
374,2013,187,BAY,74.0,W
375,2013,187,NEB,60.0,L
376,2013,188,LAS,58.0,L
377,2013,188,MIA,71.0,W
378,2013,189,CREI,79.0,W
379,2013,189,HALL,66.0,L
380,2013,190,ARK,71.0,W
381,2013,190,SCAR,64.0,L
