,season,teamAbbr,star_power,assists/score,win_count,w/l_ratio
0,2012,ATL,1.6165540131790026,0.24934506765924672,44.0,0.5365853658536586
1,2012,BKN,1.8126413799092116,0.21014393311102122,49.0,0.5975609756097561
2,2012,BOS,1.71596523237038,0.23577572810256744,41.0,0.5061728395061729
3,2012,CHA,1.7815630061084722,0.20615834453542659,21.0,0.25609756097560976
4,2012,CHI,1.657233329856586,0.2465738883626762,45.0,0.5487804878048781
5,2012,CLE,1.8721462999388458,0.21440872121200064,24.0,0.2926829268292683
6,2012,DAL,1.6968972236745778,0.22990075978355853,41.0,0.5
7,2012,DEN,1.641120525757574,0.22990963426173347,57.0,0.6951219512195121
8,2012,DET,1.675783786748864,0.22408003016477634,29.0,0.35365853658536583
9,2012,GS,1.7958419351118762,0.22169615627694667,47.0,0.573170731707317
10,2012,HOU,1.9444439264087712,0.21776870435327406,45.0,0.5487804878048781
11,2012,IND,1.8617813385059279,0.2137743937613197,49.0,0.6049382716049383
12,2012,LAC,1.6974133751929823,0.23510337323194014,56.0,0.6829268292682927
13,2012,LAL,2.0893891900038972,0.2161396287989048,45.0,0.5487804878048781
14,2012,MEM,1.63972445648735,0.2231115866656084,56.0,0.6829268292682927
15,2012,MIA,2.016982640450342,0.22372701573182108,66.0,0.8048780487804879
16,2012,MIL,1.9629352958587591,0.23034942106656314,38.0,0.4634146341463415
17,2012,MIN,1.6401984924333222,0.23362300326259228,31.0,0.3780487804878049
18,2012,NO,1.6856754835651573,0.2226189223348112,27.0,0.32926829268292684
19,2012,NY,2.258188321374227,0.19222022029179256,54.0,0.6585365853658537
20,2012,OKC,2.0680630884067384,0.20169255849673662,60.0,0.7317073170731707
21,2012,ORL,1.6227540096628188,0.24210716368640267,20.0,0.24390243902439024
22,2012,PHI,1.7095336259882195,0.24392541361240985,34.0,0.4146341463414634
23,2012,PHO,1.6065705793884497,0.23776637381817922,25.0,0.3048780487804878
24,2012,POR,1.7937141749441212,0.2234283568003343,33.0,0.4024390243902439
25,2012,SA,1.693733435261078,0.24344965924267453,58.0,0.7073170731707317
26,2012,SAC,1.7098001040807338,0.20753085457037918,28.0,0.34146341463414637
27,2012,TOR,1.7246647269077378,0.220514496396637,34.0,0.4146341463414634
28,2012,UTA,1.6503516686396777,0.23142618971128903,43.0,0.524390243902439
29,2012,WAS,1.7602197697586874,0.23217652581942685,29.0,0.35365853658536583
30,2013,ATL,1.6330935125549,0.2463171308789543,38.0,0.4634146341463415
31,2013,BKN,1.7554137066334123,0.2099771527514912,44.0,0.5365853658536586
32,2013,BOS,1.707663053840267,0.21755138208102578,25.0,0.3048780487804878
33,2013,CHA,1.9530271242493846,0.22325193783108818,43.0,0.524390243902439
34,2013,CHI,1.5853818121709984,0.24153014188219332,48.0,0.5853658536585366
35,2013,CLE,1.8414113964652183,0.21573476757467863,33.0,0.4024390243902439
36,2013,DAL,1.741708568546321,0.2243496074974003,49.0,0.5975609756097561
37,2013,DEN,1.6093622556908764,0.2141298135660284,36.0,0.43902439024390244
38,2013,DET,1.6224343187800327,0.20687099433282619,29.0,0.35365853658536583
39,2013,GS,1.9831108635846988,0.22326710670101607,51.0,0.6219512195121951
40,2013,HOU,1.910923939627451,0.1972959153060444,54.0,0.6585365853658537
41,2013,IND,1.8899047272349325,0.20823220150601573,56.0,0.6829268292682927
42,2013,LAC,1.798252141826172,0.22770690723034284,57.0,0.6951219512195121
43,2013,LAL,1.6550056698940367,0.23671732489408803,27.0,0.32926829268292684
44,2013,MEM,1.6447546508525646,0.22682257677327494,50.0,0.6097560975609756
45,2013,MIA,2.127897378149123,0.22048677617434165,54.0,0.6585365853658537
46,2013,MIL,1.799753590323059,0.22529581989724934,15.0,0.18292682926829268
47,2013,MIN,1.9712321956882672,0.22333324828034112,40.0,0.4878048780487805
48,2013,NO,1.873077249141529,0.213281225334919,34.0,0.4146341463414634
49,2013,NY,2.150816751430839,0.20369987178201546,37.0,0.45121951219512196
50,2013,OKC,2.421222663218008,0.20571623107438683,59.0,0.7195121951219512
51,2013,ORL,1.6248008432095251,0.217665060626791,23.0,0.2804878048780488
52,2013,PHI,1.7094014405198588,0.21944157288527638,19.0,0.23170731707317074
53,2013,PHO,1.7138373979627273,0.18141356532013522,48.0,0.5853658536585366
54,2013,POR,1.7600986381768262,0.21662879412966385,54.0,0.6585365853658537
55,2013,SA,1.6533066911558547,0.2378076980881642,62.0,0.7560975609756098
56,2013,SAC,1.9868967560648212,0.1881704045868338,28.0,0.34146341463414637
57,2013,TOR,1.9069941955600158,0.20942398547647156,48.0,0.5853658536585366
58,2013,UTA,1.6692139178193226,0.2133789467806648,25.0,0.3048780487804878
59,2013,WAS,1.7972456089078155,0.23094823937971884,44.0,0.5365853658536586
60,2014,ATL,1.6133662134007203,0.2506220134641825,60.0,0.7317073170731707
61,2014,BKN,1.6895624017133106,0.21389558875508116,38.0,0.4634146341463415
62,2014,BOS,1.6192115641883142,0.24204911297699525,40.0,0.4878048780487805
63,2014,CHA,1.8223045162925657,0.21372842162475567,33.0,0.4024390243902439
64,2014,CHI,1.803131709209769,0.21542076965885082,50.0,0.6097560975609756
65,2014,CLE,2.0019294744024174,0.2147833249821728,53.0,0.6463414634146342
66,2014,DAL,1.7188402728252663,0.21275931146071167,50.0,0.6097560975609756
67,2014,DEN,1.7367135827820108,0.21511247922717397,30.0,0.36585365853658536
68,2014,DET,1.7240456994243925,0.21924810143706167,32.0,0.3902439024390244
69,2014,GS,2.025172152306377,0.2492416029974724,67.0,0.8170731707317073
