,season,team_alias,game_id,team_game_score,assists/score,differencestrash,w/l_ratio,star_power,differences,win_count,game_count
132,2013,KU,1119.4,78.97142857142858,0.1869555611918794,7.171428571428572,0.7142857142857143,2.0319999999999996,-9.0,25,35.0
145,2013,LOU,1074.4054054054054,81.02702702702703,0.18920637068406654,15.555555555555555,0.8378378378378378,1.9416216216216209,-18.47826086956522,31,37.0
146,2013,LSU,780.0294117647059,74.44117647058823,0.18877729643244945,2.4411764705882355,0.5882352941176471,1.815588235294118,-3.3461538461538463,20,34.0
150,2013,MARQ,852.5,72.1875,0.19889714840751035,5.1875,0.53125,1.8703124999999998,2.25,17,32.0
154,2013,MD,1076.78125,70.9375,0.16449500758960264,1.0625,0.53125,1.843125,-4.1,17,32.0
156,2013,MEM,959.4242424242424,76.15151515151516,0.22225935278959116,7.181818181818182,0.696969696969697,1.613636363636364,-10.578947368421053,23,33.0
158,2013,MIA,751.5757575757576,61.484848484848484,0.16983679271602137,-0.8181818181818182,0.5151515151515151,2.018181818181818,-0.42105263157894735,17,33.0
159,2013,MICH,1084.8648648648648,73.94594594594595,0.18994446758562555,5.918918918918919,0.7567567567567568,1.895675675675676,-7.761904761904762,28,37.0
161,2013,MINN,968.3611111111111,70.66666666666667,0.19645893020886898,2.7777777777777777,0.6388888888888888,1.9297222222222221,-4.375,23,36.0
162,2013,MISS,783.4545454545455,75.21212121212122,0.16502303272759647,5.96969696969697,0.5757575757575758,2.1060606060606055,-3.9545454545454546,19,33.0
163,2013,MIZZ,994.2285714285714,72.94285714285714,0.13773361883562218,0.7428571428571429,0.6571428571428571,2.110285714285714,-4.285714285714286,23,35.0
172,2013,MSST,997.1212121212121,67.6969696969697,0.1773956902360258,-3.1515151515151514,0.42424242424242425,1.8448484848484852,4.333333333333333,14,33.0
173,2013,MSU,905.5526315789474,75.52631578947368,0.22081560311857587,9.105263157894736,0.7631578947368421,2.1978947368421053,-11.238095238095237,29,38.0
181,2013,NCST,757.9444444444445,71.13888888888889,0.18088443741464275,1.8055555555555556,0.6111111111111112,2.814166666666667,-1.4375,22,36.0
182,2013,ND,859.3125,71.96875,0.20816066695810842,1.59375,0.46875,1.8887499999999997,2.4615384615384617,15,32.0
185,2013,NEB,980.125,66.78125,0.14397591664225015,-5.21875,0.59375,2.1068749999999996,-3.6,19,32.0
195,2013,NW,1025.5151515151515,59.45454545454545,0.18683780948343587,-6.333333333333333,0.42424242424242425,2.386969696969697,1.4545454545454546,14,33.0
200,2013,OKLA,1042.7878787878788,81.93939393939394,0.17962633553940066,10.272727272727273,0.696969696969697,1.9299999999999993,-8.733333333333333,23,33.0
201,2013,OKST,1050.9411764705883,80.23529411764706,0.16847190570671855,6.147058823529412,0.6176470588235294,1.8864705882352941,-16.642857142857142,21,34.0
202,2013,ORE,962.2647058823529,81.8529411764706,0.17552549417143953,13.058823529411764,0.7058823529411765,2.011176470588236,-8.80952380952381,24,34.0
203,2013,ORST,810.8125,75.78125,0.17588211990870944,4.78125,0.5,2.2121874999999998,-4.4375,16,32.0
205,2013,OSU,864.9714285714285,69.48571428571428,0.1730093282466072,5.9714285714285715,0.7142857142857143,1.8771428571428568,-13.0,25,35.0
210,2013,PITT,909.6111111111111,71.83333333333333,0.2189166472191284,7.361111111111111,0.7222222222222222,1.9783333333333337,-12.214285714285714,26,36.0
214,2013,PROV,925.8571428571429,73.31428571428572,0.18520588441098443,2.8,0.6571428571428571,2.1159999999999997,1.4615384615384615,23,35.0
215,2013,PSU,907.0882352941177,70.8529411764706,0.15837415846729588,1.5,0.47058823529411764,2.050588235294118,-3.6666666666666665,16,34.0
216,2013,PUR,1021.6129032258065,71.06451612903226,0.17924434297594338,-1.1290322580645162,0.45161290322580644,1.679354838709678,-2.0,14,31.0
224,2013,RUTG,943.15625,69.71875,0.17758291821903505,-6.1875,0.375,1.8653124999999995,-0.07692307692307693,12,32.0
229,2013,SCAR,871.9705882352941,68.32352941176471,0.17880233972627466,-1.3529411764705883,0.4117647058823529,2.0876470588235287,3.0,14,34.0
235,2013,SDSU,946.34375,67.8125,0.13156037394294262,0.84375,0.84375,2.1496875,-10.333333333333334,27,32.0
248,2013,SJU,978.8787878787879,72.81818181818181,0.17883653498797178,5.515151515151516,0.6060606060606061,1.9936363636363634,2.875,20,33.0
251,2013,SMU,914.5833333333334,71.11111111111111,0.21256980531296926,5.888888888888889,0.7222222222222222,1.7786111111111111,-11.266666666666667,26,36.0
254,2013,STAN,1009.3055555555555,72.66666666666667,0.15599956201211662,3.7222222222222223,0.6388888888888888,2.020277777777778,-8.5,23,36.0
258,2013,SYR,880.6764705882352,67.97058823529412,0.17274197270530034,6.852941176470588,0.8235294117647058,1.9661764705882352,-10.5,28,34.0
259,2013,TCU,1026.4333333333334,63.333333333333336,0.17351217847444692,-11.533333333333333,0.26666666666666666,2.1806666666666663,1.4545454545454546,8,30.0
260,2013,TEM,980.9354838709677,73.90322580645162,0.18130681521241906,-0.9032258064516129,0.2903225806451613,1.9145161290322583,0.45454545454545453,9,31.0
261,2013,TENN,966.4166666666666,71.5,0.1700134516896824,6.138888888888889,0.6388888888888888,2.1341666666666668,-9.357142857142858,23,36.0
262,2013,TEX,1177.942857142857,73.82857142857142,0.17584808761882206,3.742857142857143,0.6571428571428571,1.8917142857142863,-9.3,23,35.0
269,2013,TTU,1072.09375,68.4375,0.16609440140011628,1.03125,0.4375,1.8771874999999998,-7.5,14,32.0
271,2013,TXAM,993.0588235294117,64.67647058823529,0.19679091627452933,1.3235294117647058,0.5294117647058824,1.8147058823529407,4.285714285714286,18,34.0
277,2013,UCF,907.551724137931,71.48275862068965,0.17109088871696618,-1.0,0.41379310344827586,2.1286206896551723,-4.0,12,29.0
279,2013,UCLA,880.1621621621622,81.16216216216216,0.21095618443167097,9.891891891891891,0.7567567567567568,1.846216216216216,-10.0,28,37.0
281,2013,UGA,965.5,68.91176470588235,0.1428765550152553,-0.8235294117647058,0.5882352941176471,1.8644117647058827,0.5714285714285714,20,34.0
283,2013,UK,934.775,74.8,0.14967532640542683,7.775,0.725,1.7999999999999996,-11.333333333333334,29,40.0
289,2013,UNC,1056.1176470588234,76.58823529411765,0.20297587901419062,4.764705882352941,0.7058823529411765,1.8894117647058821,-13.333333333333334,24,34.0
304,2013,USC,1114.1290322580646,70.48387096774194,0.17648042795993849,-1.5161290322580645,0.3225806451612903,2.202258064516129,7.25,10,31.0
310,2013,UTAH,930.3870967741935,71.83870967741936,0.1971001570349177,5.516129032258065,0.6129032258064516,1.8767741935483873,-5.6,19,31.0
315,2013,UVA,863.081081081081,66.1891891891892,0.19645616227772747,8.027027027027026,0.8108108108108109,1.6894594594594594,-6.8,30,37.0
321,2013,VILL,1004.7941176470588,77.97058823529412,0.19651974398142977,10.235294117647058,0.8529411764705882,1.806764705882353,-15.0,29,34.0
323,2013,VT,1128.3548387096773,62.903225806451616,0.17420541310750376,-3.4193548387096775,0.2903225806451613,2.03,-8.75,9,31.0
325,2013,WAKE,811.3636363636364,69.6969696969697,0.19147462721815836,-1.5151515151515151,0.5151515151515151,1.8124242424242418,15.0,17,33.0
326,2013,WASH,998.6875,74.5,0.17933928177054081,-0.625,0.53125,1.9696874999999998,-9.0,17,32.0
330,2013,WICH,874.0571428571428,74.65714285714286,0.18333686930427523,13.8,0.9714285714285714,1.9791428571428575,-17.0,34,35.0
332,2013,WIS,1041.7105263157894,73.44736842105263,0.16724761544447367,9.5,0.7894736842105263,1.8136842105263156,-7.0,30,38.0
345,2014,AAMU,4373.25,61.285714285714285,0.2001909486271752,-7.107142857142857,0.2857142857142857,2.5078571428571435,7.428571428571429,8,28.0
346,2014,AC,4566.071428571428,61.0,0.19647253253392336,-5.0,0.25,2.1125,10.964285714285714,7,28.0
347,2014,AFA,4459.620689655172,64.72413793103448,0.2270700639036592,-1.7241379310344827,0.41379310344827586,1.8486206896551725,1.1379310344827587,12,29.0
348,2014,AKR,4569.823529411765,67.3529411764706,0.18379080363290268,1.5294117647058822,0.5882352941176471,1.6464705882352941,-4.117647058823529,20,34.0
349,2014,ALA,4864.454545454545,67.0,0.1528572597916843,0.8181818181818182,0.5454545454545454,1.8900000000000001,-2.4242424242424243,18,33.0
350,2014,ALBY,4778.818181818182,65.33333333333333,0.16075386166248368,-4.090909090909091,0.7272727272727273,1.7766666666666666,-4.848484848484849,24,33.0
351,2014,ALCN,4727.9,63.36666666666667,0.13573175115482167,-5.333333333333333,0.16666666666666666,1.998,11.0,5,30.0
352,2014,ALST,4826.222222222223,70.70370370370371,0.18662609796327156,7.037037037037037,0.6296296296296297,1.9403703703703707,-3.4347826086956523,17,27.0
353,2014,AMCC,4597.84375,65.8125,0.15512449484894164,1.15625,0.5625,1.9637500000000003,0.9,18,32.0
354,2014,AMER,5003.969696969697,58.72727272727273,0.2122241608942515,-7.424242424242424,0.5151515151515151,1.9284848484848485,-0.15151515151515152,17,33.0
355,2014,APP,5033.275862068966,63.48275862068966,0.1756279133760067,-5.758620689655173,0.41379310344827586,2.1351724137931036,6.821428571428571,12,29.0
356,2014,ARIZ,4655.0526315789475,76.60526315789474,0.18031532263134342,11.81578947368421,0.8947368421052632,1.5773684210526315,-16.92105263157895,34,38.0
357,2014,ARK,5057.972222222223,77.41666666666667,0.20586668384546994,9.11111111111111,0.75,1.9419444444444436,-7.117647058823529,27,36.0
358,2014,ARMY,5119.620689655172,71.41379310344827,0.19941521361284142,2.3793103448275863,0.4827586206896552,2.1117241379310348,2.3461538461538463,14,29.0
359,2014,ARPB,4860.21875,59.75,0.16662387699007752,-10.59375,0.375,2.604375,7.043478260869565,12,32.0
360,2014,ARST,4835.071428571428,63.357142857142854,0.1696992626680101,-6.821428571428571,0.35714285714285715,2.039642857142857,7.076923076923077,10,28.0
361,2014,ASU,5145.411764705882,69.41176470588235,0.18295640629791612,4.9411764705882355,0.5294117647058824,1.7973529411764702,-3.967741935483871,18,34.0
362,2014,AUB,4765.941176470588,67.52941176470588,0.1567462421592153,3.235294117647059,0.4117647058823529,2.276470588235294,4.483870967741935,14,34.0
363,2014,BALL,5315.6551724137935,64.13793103448276,0.1913733524703257,-4.413793103448276,0.20689655172413793,1.8579310344827582,4.785714285714286,6,29.0
364,2014,BAY,5182.151515151515,68.72727272727273,0.20517172716089896,0.30303030303030304,0.696969696969697,1.917878787878788,-8.515151515151516,23,33.0
365,2014,BC,4806.90625,65.78125,0.19913779889212058,-3.75,0.40625,2.4349999999999996,1.625,13,32.0
366,2014,BEL,5374.84375,73.5625,0.20604102650581385,7.25,0.65625,2.0878124999999996,-3.125,21,32.0
367,2014,BGSU,4681.90625,66.4375,0.18303886023757393,-1.21875,0.65625,1.9043750000000002,-3.6923076923076925,21,32.0
368,2014,BING,5251.5,57.03333333333333,0.14702945735929374,-8.2,0.16666666666666666,2.137666666666667,8.76923076923077,5,30.0
369,2014,BRAD,4971.6875,56.3125,0.1623505536749244,-13.46875,0.25,2.0259375,6.451612903225806,8,32.0
370,2014,BRWN,4675.689655172414,65.0,0.17334911619596868,-7.206896551724138,0.3793103448275862,2.0172413793103448,4.821428571428571,11,29.0
371,2014,BRY,4548.548387096775,66.38709677419355,0.18456911193097597,-2.2903225806451615,0.5161290322580645,2.1425806451612903,1.2857142857142858,16,31.0
372,2014,BSU,5145.9375,69.40625,0.16821236239493684,3.90625,0.71875,2.3381250000000002,-6.642857142857143,23,32.0
373,2014,BU,5274.517241379311,67.86206896551724,0.17874820323216,1.896551724137931,0.41379310344827586,1.9151724137931037,4.083333333333333,12,29.0
374,2014,BUCK,4985.848484848485,68.21212121212122,0.18669833506014188,-1.5151515151515151,0.5454545454545454,2.2778787878787874,3.0,18,33.0
375,2014,BUFF,4470.545454545455,74.60606060606061,0.1730815520125409,2.1818181818181817,0.696969696969697,1.9866666666666668,-5.923076923076923,23,33.0
376,2014,BUT,4602.735294117647,69.0,0.16247456978685132,3.411764705882353,0.6764705882352942,2.019705882352941,-7.9393939393939394,23,34.0
377,2014,BYU,4428.484848484848,82.0909090909091,0.19830562436873686,12.333333333333334,0.696969696969697,2.133333333333333,-8.515151515151516,23,33.0
378,2014,CAL,4701.0,66.51515151515152,0.1859447291462091,-0.030303030303030304,0.5454545454545454,2.2427272727272722,-2.3333333333333335,18,33.0
379,2014,CAMP,5015.896551724138,61.89655172413793,0.19655495977811968,-4.206896551724138,0.2413793103448276,1.8537931034482757,5.827586206896552,7,29.0
380,2014,CAN,4577.757575757576,65.6969696969697,0.21500624987833092,-0.9696969696969697,0.5454545454545454,2.0393939393939395,-2.6774193548387095,18,33.0
381,2014,CARK,5002.137931034483,65.3103448275862,0.19194336226410472,2.5517241379310347,0.06896551724137931,1.6603448275862065,17.23076923076923,2,29.0
