Rk,School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
22,Indiana,35,27,8,0.771,19.59,6.9,2891,2447,,1405,1021,2034,0.502,345,831,0.415,504,688,0.733,414,1288,560,239,137,474,647
23,Miami (FL),35,27,8,0.771,18.52,10.69,2633,2359,,1405,907,1895,0.479,241,643,0.375,578,772,0.749,330,1207,438,215,127,383,581
24,Yale,30,23,7,0.767,9.08,-1.03,2248,1914,,1205,795,1693,0.47,190,523,0.363,468,699,0.67,407,1208,452,170,137,398,530
25,South Dakota State,34,26,8,0.765,5.44,-1.22,2591,2316,,1360,877,1950,0.45,255,715,0.357,582,783,0.743,381,1279,381,169,84,399,670
26,Princeton,29,22,7,0.759,7.17,-1.72,2294,1989,,1175,800,1725,0.464,282,736,0.383,412,579,0.712,288,1069,431,206,104,330,503
27,Dayton,33,25,8,0.758,11.34,4.76,2393,2176,,1335,836,1836,0.455,221,643,0.344,500,749,0.668,327,1265,480,196,145,427,626
28,North Carolina-Wilmington,33,25,8,0.758,6.25,0.35,2620,2379,,1335,928,2039,0.455,230,677,0.34,534,760,0.703,397,1237,438,246,143,374,793
29,Texas A&M-Corpus Christi,33,25,8,0.758,-3.18,-5.44,2428,2308,,1320,838,1918,0.437,215,631,0.341,537,728,0.738,373,1159,421,306,149,419,700
30,Texas A&M,37,28,9,0.757,18.45,8.45,2828,2458,,1500,991,2208,0.449,281,824,0.341,565,841,0.672,460,1461,612,260,133,434,668
31,Kentucky,36,27,9,0.75,20.23,8.84,2861,2451,,1455,1028,2149,0.478,244,666,0.366,561,813,0.69,451,1395,512,206,207,389,735
32,Maryland,36,27,9,0.75,16.71,8.31,2725,2400,,1445,943,1941,0.486,267,739,0.361,572,745,0.768,319,1288,488,210,194,458,605
33,Utah,36,27,9,0.75,15.5,8.79,2778,2502,,1460,977,2000,0.489,273,746,0.366,551,764,0.721,347,1335,557,199,149,451,549
34,Akron,35,26,9,0.743,5.55,-1.24,2682,2381,,1405,911,2111,0.432,409,1069,0.383,451,659,0.684,373,1310,507,190,137,381,618
35,Purdue,35,26,9,0.743,20.17,7.46,2726,2281,,1415,960,2042,0.47,268,731,0.367,538,723,0.744,400,1443,615,147,165,419,607
36,Weber State,35,26,9,0.743,0.18,-5.13,2662,2344,,1420,908,1885,0.482,291,785,0.371,555,821,0.676,300,1296,477,175,119,462,611
37,West Virginia,35,26,9,0.743,21.61,9.78,2749,2335,,1410,943,2102,0.449,209,643,0.325,654,972,0.673,558,1380,510,343,93,498,819
38,Wichita State,35,26,9,0.743,17.39,4.24,2535,2066,,1410,867,2023,0.429,250,771,0.324,551,768,0.717,407,1305,489,255,125,346,705
39,Louisville,31,23,8,0.742,21.57,7.74,2324,1895,,1240,866,1847,0.469,186,536,0.347,406,588,0.69,415,1183,419,222,149,353,597
40,UC-Irvine,38,28,10,0.737,5.33,0.77,2706,2512,,1535,977,2128,0.459,241,652,0.37,511,752,0.68,370,1416,568,217,198,471,706
41,George Washington,38,28,10,0.737,11.43,4.24,2875,2602,,1530,980,2194,0.447,269,726,0.371,646,858,0.753,453,1442,535,230,125,426,621
42,San Diego State,38,28,10,0.737,11.89,4.33,2605,2303,,1530,885,2100,0.421,222,687,0.323,613,892,0.687,453,1475,405,210,207,467,648
43,Arizona,34,25,9,0.735,18.79,7.23,2735,2342,,1390,946,1970,0.48,221,580,0.381,622,863,0.721,394,1368,485,164,161,442,621
44,Evansville,34,25,9,0.735,8.1,-0.39,2526,2221,,1370,879,1795,0.49,158,448,0.353,610,843,0.724,260,1202,595,178,147,426,601
45,Seton Hall,34,25,9,0.735,14.66,8.28,2522,2305,,1365,892,1999,0.446,206,594,0.347,532,808,0.658,438,1355,455,251,155,469,636
46,South Carolina,34,25,9,0.735,12.01,5.83,2583,2357,,1370,882,2040,0.432,216,614,0.352,603,883,0.683,472,1372,461,230,151,464,672
47,Albany (NY),33,24,9,0.727,0.93,-7.57,2495,2180,,1335,848,1850,0.458,188,587,0.32,611,814,0.751,387,1276,410,216,52,413,581
48,Cal State Bakersfield,33,24,9,0.727,2.58,-5.15,2405,2104,,1330,875,1939,0.451,179,524,0.342,476,726,0.656,414,1263,516,263,165,405,707
49,Winthrop,32,23,9,0.719,-1.42,-5.7,2631,2429,,1280,890,1869,0.476,285,768,0.371,566,756,0.749,291,1160,378,174,175,403,602
50,Columbia,35,25,10,0.714,3.45,-2.55,2670,2399,,1415,899,1986,0.453,336,893,0.376,536,745,0.719,366,1240,518,220,121,379,649
51,Fresno State,35,25,10,0.714,5.27,2.24,2630,2475,,1420,926,2126,0.436,219,638,0.343,559,805,0.694,409,1293,466,295,138,378,764
52,Middle Tennessee,35,25,10,0.714,2.66,-0.7,2539,2410,,1405,909,2025,0.449,279,716,0.39,442,718,0.616,369,1283,455,215,123,419,700
53,St. Bonaventure,31,22,9,0.71,6.55,1.87,2409,2264,,1250,812,1826,0.445,256,687,0.373,529,684,0.773,345,1102,418,184,132,357,602
54,Hofstra,34,24,10,0.706,5.02,0.77,2681,2509,,1390,914,2050,0.446,289,812,0.356,564,818,0.689,402,1327,510,215,108,406,542
55,Fort Wayne,34,24,10,0.706,0,-1.66,2701,2585,,1370,932,2017,0.462,354,863,0.41,483,671,0.72,342,1230,512,190,112,417,588
56,Brigham Young,37,26,11,0.703,12.36,2.36,3093,2692,,1485,1096,2369,0.463,330,863,0.382,571,827,0.69,441,1514,611,256,161,434,690
57,Louisiana Tech,33,23,10,0.697,-0.07,-4.4,2624,2395,,1345,915,1999,0.458,234,704,0.332,560,842,0.665,358,1257,463,247,142,412,597
58,Connecticut,36,25,11,0.694,15.89,6.28,2631,2285,,1460,944,2078,0.454,255,699,0.365,488,615,0.793,335,1300,489,210,182,385,657
59,Duke,36,25,11,0.694,19.23,10.59,2920,2609,,1450,983,2136,0.46,328,851,0.385,626,866,0.723,426,1296,478,226,154,354,603
60,Virginia Commonwealth,36,25,11,0.694,13.83,4.35,2781,2440,,1450,1010,2238,0.451,262,745,0.352,499,721,0.692,435,1347,515,309,135,405,706
61,Houston,32,22,10,0.688,10.3,2.17,2476,2216,,1305,897,1926,0.466,215,618,0.348,467,662,0.705,410,1202,412,191,122,333,608
62,Southern Illinois,32,22,10,0.688,2.79,-1.3,2360,2229,,1290,828,1827,0.453,212,618,0.343,492,718,0.685,357,1135,371,232,63,438,685
63,Providence,35,24,11,0.686,11.94,8.46,2577,2455,,1415,881,2093,0.421,249,776,0.321,566,781,0.725,402,1263,550,229,123,397,591
64,Texas-Arlington,35,24,11,0.686,5.02,-3.42,2762,2417,,1415,956,2249,0.425,307,942,0.326,543,780,0.696,520,1530,590,261,99,482,730
65,University of California,34,23,11,0.676,15.39,7.87,2545,2289,,1375,890,1931,0.461,236,651,0.363,529,806,0.656,386,1349,430,139,159,419,706
66,New Mexico State,34,23,11,0.676,3.59,-3.54,2424,2145,,1380,887,1919,0.462,179,537,0.333,471,696,0.677,415,1395,475,141,160,462,535
67,Wagner,34,23,11,0.676,-4.79,-9.52,2389,2209,,1365,856,2019,0.424,203,617,0.329,474,665,0.713,474,1348,451,237,136,454,743
68,Butler,33,22,11,0.667,16.46,7.55,2638,2344,,1325,918,1969,0.466,236,601,0.393,566,774,0.731,366,1188,468,227,107,335,646
69,Cincinnati,33,22,11,0.667,15.19,5.25,2418,2090,,1355,851,1980,0.43,252,725,0.348,464,658,0.705,441,1291,508,257,192,363,513
70,East Tennessee State,36,24,12,0.667,-1.49,-2.29,2813,2687,,1455,984,2135,0.461,295,779,0.379,550,774,0.711,376,1300,447,240,136,462,724
71,Iona,33,22,11,0.667,3.59,-1.78,2628,2451,,1325,919,2011,0.457,327,884,0.37,463,651,0.711,348,1218,551,248,135,422,642
72,Iowa,33,22,11,0.667,17.01,8.71,2561,2287,,1330,906,2027,0.447,269,719,0.374,480,669,0.717,392,1257,523,223,156,339,538
73,Notre Dame,36,24,12,0.667,14.1,9.57,2704,2541,,1445,972,2042,0.476,262,700,0.374,498,671,0.742,381,1265,480,197,143,359,544
74,Old Dominion,38,25,13,0.658,4.66,-2.31,2604,2339,,1530,987,2227,0.443,159,528,0.301,471,691,0.682,501,1474,505,221,150,346,687
75,Iowa State,35,23,12,0.657,16.93,10.16,2862,2625,,1415,1087,2159,0.503,293,758,0.387,395,563,0.702,304,1244,577,218,142,398,542
76,Oakland,35,23,12,0.657,6.3,-1.61,3023,2746,,1405,1002,2186,0.458,316,794,0.398,703,913,0.77,399,1373,545,215,116,399,667
77,Ohio,35,23,12,0.657,1.9,-1.18,2746,2617,,1410,937,1993,0.47,296,767,0.386,576,759,0.759,288,1251,487,157,128,414,632
78,Hampton,32,21,11,0.656,-8.74,-8.45,2363,2370,,1305,810,1967,0.412,206,678,0.304,537,815,0.659,447,1322,381,169,117,440,649
79,High Point,32,21,11,0.656,-0.52,-4.24,2473,2258,,1290,884,1852,0.477,187,487,0.384,518,680,0.762,337,1074,493,256,94,341,559
80,James Madison,32,21,11,0.656,6.17,0.5,2405,2197,,1305,830,1848,0.449,278,775,0.359,467,682,0.685,335,1247,406,139,97,380,612
81,Baylor,34,22,12,0.647,16.13,9.76,2621,2366,,1375,933,2003,0.466,210,572,0.367,545,752,0.725,467,1267,603,269,135,432,660
82,Colorado,34,22,12,0.647,12.04,7.64,2576,2407,,1370,865,2029,0.426,252,647,0.389,594,808,0.735,446,1434,461,177,167,454,638
83,North Carolina-Asheville,34,22,12,0.647,1.1,-3.25,2552,2313,,1370,898,1973,0.455,195,603,0.323,561,808,0.694,396,1278,422,312,112,444,587
84,North Florida,34,22,12,0.647,-1.41,-3.92,2865,2704,,1360,1000,2065,0.484,411,1002,0.41,454,624,0.728,293,1168,559,177,172,383,551
85,Tennessee State,31,20,11,0.645,-1.81,-5.3,2273,2134,,1260,795,1760,0.452,173,517,0.335,510,734,0.695,353,1149,328,250,113,426,639
86,William & Mary,31,20,11,0.645,5.57,1.3,2384,2205,,1250,843,1755,0.48,241,652,0.37,457,636,0.719,258,1141,501,170,132,331,512
87,Green Bay,36,23,13,0.639,1.16,-0.67,3013,2880,,1455,1048,2350,0.446,255,730,0.349,662,1007,0.657,458,1385,501,358,166,441,724
88,Michigan,36,23,13,0.639,13.75,7.92,2656,2426,,1445,947,2048,0.462,342,901,0.38,420,569,0.738,290,1152,537,203,81,348,558
89,Northern Iowa,36,23,13,0.639,8.78,4.44,2475,2303,,1455,849,1864,0.455,298,796,0.374,479,633,0.757,195,1091,429,204,94,357,560
90,Coastal Carolina,33,21,12,0.636,-1.85,-4.22,2410,2196,,1325,854,1909,0.447,244,716,0.341,458,689,0.665,377,1299,396,195,113,406,568
91,Montana,33,21,12,0.636,-0.72,-4.29,2393,2225,,1330,841,1807,0.465,254,680,0.374,457,657,0.696,304,1138,451,173,83,409,712
92,Pittsburgh,33,21,12,0.636,15.47,8.75,2476,2220,,1330,878,1919,0.458,204,589,0.346,516,686,0.752,417,1257,547,162,121,384,581
93,Temple,33,21,12,0.636,7.69,6.57,2267,2230,,1345,822,2021,0.407,255,757,0.337,368,538,0.684,371,1225,445,173,103,305,535
94,Nevada,38,24,14,0.632,2.85,1.79,2878,2740,,1550,973,2293,0.424,202,658,0.307,730,992,0.736,459,1535,478,254,216,495,788
95,Southern,35,22,13,0.629,-7.68,-9.37,2534,2406,,1400,909,2046,0.444,211,610,0.346,505,754,0.67,365,1258,381,258,123,391,680
96,Wisconsin,35,22,13,0.629,13.4,9.4,2373,2233,,1410,816,1917,0.426,229,656,0.349,512,728,0.703,398,1228,400,205,114,386,588
97,Wright State,35,22,13,0.629,0.18,-1.76,2399,2303,,1405,856,1916,0.447,256,687,0.373,431,621,0.694,232,1094,478,193,75,397,770
98,Belmont,32,20,12,0.625,1.19,-2.1,2638,2510,,1285,914,1849,0.494,338,931,0.363,472,650,0.726,271,1105,544,145,81,450,639
99,Boise State,32,20,12,0.625,7.23,3.13,2480,2246,,1290,842,1859,0.453,261,788,0.331,535,755,0.709,315,1110,430,209,64,372,622
100,Mississippi,32,20,12,0.625,7.91,4.81,2405,2306,,1290,796,1916,0.415,252,746,0.338,561,791,0.709,424,1230,412,242,100,386,635
101,Northwestern,32,20,12,0.625,10.16,4.12,2304,2111,,1305,837,1859,0.45,278,776,0.358,352,528,0.667,342,1167,527,124,121,331,605
102,Tulsa,32,20,12,0.625,9.79,5.76,2356,2227,,1290,821,1849,0.444,219,671,0.326,495,731,0.677,323,1123,435,216,88,346,563
103,Morehead State,37,23,14,0.622,1.04,-1.65,2722,2553,,1495,974,2219,0.439,215,593,0.363,557,801,0.695,541,1380,533,304,83,464,859
104,Syracuse,37,23,14,0.622,14.62,9.75,2589,2409,,1495,884,2080,0.425,315,876,0.36,506,736,0.688,445,1319,493,300,162,440,598
105,Vermont,37,23,14,0.622,-1.51,-4.73,2774,2611,,1480,986,2051,0.481,255,666,0.383,547,772,0.709,343,1321,495,212,161,490,719
106,Idaho,34,21,13,0.618,-5.19,-5.88,2372,2251,,1365,800,1812,0.442,223,591,0.377,549,774,0.709,388,1257,428,178,88,506,735
107,Northern Illinois,34,21,13,0.618,-0.46,-1.2,2463,2285,,1370,842,1970,0.427,238,681,0.349,541,791,0.684,416,1331,472,250,118,430,687
108,Siena,34,21,13,0.618,1.73,-3.19,2659,2492,,1385,929,1992,0.466,215,585,0.368,586,812,0.722,455,1362,492,210,155,546,714
109,Southern California,34,21,13,0.618,13.52,7.64,2737,2537,,1380,982,2138,0.459,266,688,0.387,507,750,0.676,401,1337,504,215,181,415,590
110,Tennessee Tech,31,19,12,0.613,-3.21,-3.66,2416,2340,,1245,792,1730,0.458,266,731,0.364,566,762,0.743,291,1102,442,159,119,383,600
111,Davidson,33,20,13,0.606,5.74,5.14,2608,2576,,1325,894,2022,0.442,317,892,0.355,503,661,0.761,312,1154,497,154,102,335,567
112,Marquette,33,20,13,0.606,7.66,5.57,2517,2448,,1340,884,1888,0.468,194,572,0.339,555,764,0.726,311,1179,533,258,137,485,620
113,Milwaukee,33,20,13,0.606,2.89,-2.02,2618,2391,,1345,879,1927,0.456,306,842,0.363,554,718,0.772,320,1195,566,149,86,362,562
114,New Hampshire,33,20,13,0.606,-7.89,-7.05,2342,2297,,1330,809,1944,0.416,222,666,0.333,502,693,0.724,376,1296,389,126,59,385,585
115,North Dakota State,33,20,13,0.606,-0.93,-2.99,2271,2129,,1325,817,1837,0.445,214,630,0.34,423,619,0.683,302,1149,347,198,117,348,523
116,Texas,33,20,13,0.606,14.8,11.71,2355,2253,,1330,814,1884,0.432,232,681,0.341,495,743,0.666,363,1139,377,167,144,341,688
117,Towson,33,20,13,0.606,-0.06,-1.57,2358,2227,,1330,805,1888,0.426,182,574,0.317,566,840,0.674,472,1295,371,203,155,401,677
118,Ball State,35,21,14,0.6,0.11,-2.98,2479,2338,,1430,855,1919,0.446,305,818,0.373,464,670,0.693,330,1275,512,191,126,465,665
119,Florida Gulf Coast,35,21,14,0.6,-0.79,-3.82,2703,2473,,1435,1008,2106,0.479,186,527,0.353,501,778,0.644,417,1422,483,230,141,438,674
120,Ohio State,35,21,14,0.6,9.39,7.08,2462,2381,,1420,876,1995,0.439,219,655,0.334,491,718,0.684,379,1333,397,191,183,451,620
121,Kent State,32,19,13,0.594,-1.53,-1.47,2361,2317,,1290,834,1871,0.446,185,564,0.328,508,744,0.683,405,1204,373,170,106,379,578
122,Oregon State,32,19,13,0.594,10.39,9.26,2301,2244,,1280,811,1843,0.44,218,587,0.371,461,687,0.671,337,1102,432,236,106,361,642
123,Texas Tech,32,19,13,0.594,12.41,10.25,2305,2236,,1295,785,1754,0.448,185,534,0.346,550,741,0.742,326,1086,418,190,134,385,589
124,Florida State,34,20,14,0.588,12.16,8.16,2652,2516,,1365,948,2042,0.464,220,645,0.341,536,771,0.695,389,1257,453,243,139,441,656
125,Georgia,34,20,14,0.588,9.41,8.47,2401,2369,,1370,799,1892,0.422,220,598,0.368,583,823,0.708,394,1319,424,164,174,448,703
126,Louisiana-Monroe,34,20,14,0.588,-0.18,-1.46,2471,2360,,1390,896,1956,0.458,225,636,0.354,454,647,0.702,370,1233,481,198,113,411,596
127,Incarnate Word,29,17,12,0.586,-9.2,-6.2,2145,2140,,1165,718,1653,0.434,234,622,0.376,475,620,0.766,232,974,428,200,75,368,538
128,Florida,36,21,15,0.583,14.69,9.19,2677,2479,,1445,930,2186,0.425,258,810,0.319,559,863,0.648,470,1436,480,235,152,405,700
129,Georgia Tech,36,21,15,0.583,12.51,9.95,2637,2545,,1445,965,2150,0.449,213,597,0.357,492,681,0.722,469,1398,487,158,151,403,643
130,Army,33,19,14,0.576,-7.32,-8.13,2539,2474,,1350,895,2084,0.429,294,877,0.335,455,656,0.694,408,1338,501,163,123,448,628
131,UC-Santa Barbara,33,19,14,0.576,3.79,1.44,2335,2219,,1325,859,1944,0.442,251,697,0.36,366,522,0.701,344,1235,496,195,98,419,647
132,Fairfield,33,19,14,0.576,-3.84,-3.14,2522,2545,,1345,875,1991,0.439,293,827,0.354,479,650,0.737,298,1146,503,213,135,427,633
133,Louisiana State,33,19,14,0.576,8.79,7,2602,2543,,1330,915,1990,0.46,203,620,0.327,569,856,0.665,368,1231,507,263,90,394,609
134,Navy,33,19,14,0.576,-4.99,-7.05,2230,2135,,1340,805,1768,0.455,141,469,0.301,479,748,0.64,370,1187,448,188,125,430,648
135,Texas-El Paso,33,19,14,0.576,-3.81,-4.93,2554,2471,,1335,896,1926,0.465,223,618,0.361,539,809,0.666,299,1197,512,197,116,417,672
136,Vanderbilt,33,19,14,0.576,17.2,8.68,2506,2225,,1330,857,1879,0.456,273,714,0.382,519,747,0.695,313,1273,487,139,182,386,632
137,Buffalo,35,20,15,0.571,1.34,0.9,2709,2634,,1410,915,2096,0.437,263,776,0.339,616,867,0.71,425,1363,441,240,124,475,748
138,Creighton,35,20,15,0.571,13.69,6.44,2787,2533,,1400,979,2081,0.47,283,804,0.352,546,780,0.7,334,1299,537,211,108,406,661
139,Long Beach State,35,20,15,0.571,4.09,4.57,2613,2568,,1415,896,2077,0.431,287,783,0.367,534,776,0.688,371,1251,532,226,90,430,722
140,NJIT,35,20,15,0.571,-4.17,-4.56,2629,2587,,1410,911,2045,0.445,306,865,0.354,501,679,0.738,330,1214,562,226,93,452,672
141,Tennessee-Martin,35,20,15,0.571,-5.57,-4.72,2554,2494,,1420,888,2000,0.444,274,789,0.347,504,711,0.709,371,1279,425,203,70,426,609
142,Virginia Tech,35,20,15,0.571,9.93,7.53,2624,2540,,1425,876,1953,0.449,200,575,0.348,672,964,0.697,371,1230,426,188,125,447,673
143,Illinois State,32,18,14,0.563,3.4,2.59,2149,2114,,1285,759,1835,0.414,238,706,0.337,393,588,0.668,344,1141,402,205,115,405,622
144,Omaha,32,18,14,0.563,-0.24,-2.04,2729,2619,,1295,953,2023,0.471,202,599,0.337,621,833,0.745,340,1129,460,297,94,413,657
145,Pepperdine,32,18,14,0.563,2.33,1.68,2349,2287,,1300,840,1861,0.451,162,469,0.345,507,754,0.672,351,1182,457,187,93,357,595
146,Boston University,34,19,15,0.559,-6.79,-6.37,2483,2464,,1375,859,1893,0.454,272,748,0.364,493,688,0.717,311,1216,456,204,129,468,641
147,Louisiana,34,19,15,0.559,2.62,-1.94,2706,2476,,1370,931,2099,0.444,222,716,0.31,622,891,0.698,485,1410,433,218,123,425,634
148,Memphis,34,19,15,0.559,9.84,3.58,2603,2390,,1370,877,2124,0.413,206,635,0.324,643,890,0.722,431,1379,510,261,185,407,680
149,Mercer,34,19,15,0.559,-3.11,-4.55,2446,2339,,1390,871,1958,0.445,210,612,0.343,494,676,0.731,436,1363,509,174,85,431,588
150,South Carolina State,34,19,15,0.559,-9.99,-8.24,2485,2485,,1360,885,1955,0.453,201,589,0.341,514,716,0.718,342,1145,432,156,94,400,656
151,Washington,34,19,15,0.559,11.21,8.12,2853,2748,,1385,964,2264,0.426,249,752,0.331,676,932,0.725,473,1360,488,258,222,470,813
152,Jackson State,36,20,16,0.556,-8.66,-9.54,2455,2352,,1465,898,2208,0.407,243,781,0.311,416,659,0.631,474,1417,445,279,131,446,771
153,Bucknell,31,17,14,0.548,-2.09,-5.89,2448,2288,,1265,831,1788,0.465,233,639,0.365,553,774,0.714,317,1137,489,204,100,423,657
154,Clemson,31,17,14,0.548,12.03,6.87,2159,1999,,1250,753,1725,0.437,238,678,0.351,415,574,0.723,320,1076,411,179,162,315,511
155,College of Charleston,31,17,14,0.548,2.37,0.04,2028,1921,,1250,722,1718,0.42,206,595,0.346,378,567,0.667,335,1090,361,222,75,393,620
156,Fordham,31,17,14,0.548,1.87,-0.09,2206,2128,,1255,782,1744,0.448,243,702,0.346,399,586,0.681,320,1060,488,263,121,438,610
157,Murray State,31,17,14,0.548,-1.58,-3.06,2212,2093,,1245,770,1694,0.455,226,621,0.364,444,613,0.724,308,1018,445,186,66,367,617
158,Alabama,33,18,15,0.545,7.14,8.62,2193,2242,,1330,738,1750,0.422,259,763,0.339,458,712,0.643,327,1141,347,192,175,438,631
159,Eastern Michigan,33,18,15,0.545,-0.14,1.24,2553,2460,,1330,875,1961,0.446,187,602,0.311,616,854,0.721,386,1194,379,312,122,425,674
160,Fairleigh Dickinson,33,18,15,0.545,-10.9,-8.31,2558,2600,,1335,929,2029,0.458,238,657,0.362,462,663,0.697,347,1108,472,250,87,423,720
161,Nevada-Las Vegas,33,18,15,0.545,5.5,3.17,2581,2427,,1350,887,2015,0.44,252,760,0.332,555,815,0.681,371,1270,499,266,168,466,700
162,Northeastern,33,18,15,0.545,1.6,1.35,2376,2339,,1365,793,1808,0.439,286,770,0.371,504,704,0.716,295,1111,485,202,109,409,546
163,Texas Southern,33,18,15,0.545,-4.64,-6.94,2403,2327,,1320,848,1853,0.458,222,657,0.338,485,769,0.631,408,1249,469,146,101,434,505
164,Furman,35,19,16,0.543,-2.83,-4.2,2487,2333,,1400,847,1865,0.454,253,785,0.322,540,777,0.695,387,1250,424,217,115,471,622
165,Georgia State,30,16,14,0.533,-2.8,-2.19,1971,1950,,1220,705,1597,0.441,149,436,0.342,412,598,0.689,243,925,352,200,91,350,578
166,Lehigh,32,17,15,0.531,-4.42,-5.2,2268,2210,,1280,810,1777,0.456,237,604,0.392,411,565,0.727,307,1095,477,214,103,416,548
167,New Mexico,32,17,15,0.531,5.21,2.58,2432,2348,,1285,829,1782,0.465,196,540,0.363,578,783,0.738,310,1173,462,180,130,489,657
168,Rhode Island,32,17,15,0.531,7.92,3.29,2220,2072,,1295,782,1762,0.444,213,584,0.365,443,662,0.669,335,1118,391,170,159,368,606
169,Toledo,32,17,15,0.531,2.96,-2.36,2482,2286,,1280,865,1881,0.46,263,722,0.364,489,655,0.747,306,1161,523,167,63,373,552
170,Colorado State,34,18,16,0.529,2.31,1.53,2700,2626,,1400,878,2067,0.425,326,896,0.364,618,861,0.718,441,1359,455,131,77,395,657
171,Eastern Washington,34,18,16,0.529,-4.47,-6.03,2769,2617,,1360,961,1989,0.483,356,924,0.385,491,719,0.683,319,1133,449,202,129,381,658
172,Sam Houston State,34,18,16,0.529,-6.06,-6.5,2551,2427,,1370,876,2013,0.435,264,775,0.341,535,767,0.698,380,1261,575,188,57,400,742
173,Western Kentucky,34,18,16,0.529,-1.29,-0.89,2620,2586,,1385,925,1970,0.47,233,643,0.362,537,768,0.699,405,1311,463,151,139,450,610
174,Denver,31,16,15,0.516,-3.34,-3.24,2021,2024,,1240,689,1449,0.476,235,613,0.383,408,530,0.77,168,781,443,198,71,404,593
175,Detroit Mercy,31,16,15,0.516,-2.44,-0.82,2595,2567,,1245,898,1929,0.466,244,651,0.375,555,795,0.698,373,1169,409,213,133,422,706
176,Idaho State,31,16,15,0.516,-9.83,-6.69,2297,2357,,1240,769,1767,0.435,250,687,0.364,509,700,0.727,284,1078,380,226,90,409,587
177,Long Island University,31,16,15,0.516,-11.79,-11.01,2362,2386,,1255,813,1884,0.432,179,602,0.297,557,779,0.715,386,1173,432,238,87,422,652
178,Radford,31,16,15,0.516,-5.17,-3.45,2266,2248,,1270,844,1885,0.448,226,658,0.343,352,541,0.651,408,1174,410,183,138,416,580
