Rk,School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Villanova,40,35,5,0.875,24.08,9.71,3118,2543,,1605,1086,2247,0.483,347,959,0.362,599,766,0.782,351,1385,637,282,136,440,681
2,Kansas,38,33,5,0.868,23.87,11.22,3089,2570,,1540,1092,2207,0.495,304,728,0.418,601,843,0.713,402,1443,604,253,158,478,719
3,Little Rock,35,30,5,0.857,7.12,-1.76,2487,2129,,1415,886,1958,0.453,266,693,0.384,449,616,0.729,315,1195,451,230,106,355,640
4,Southern Methodist,30,25,5,0.833,18.42,4.56,2319,1903,,1200,858,1727,0.497,194,462,0.42,409,584,0.7,396,1183,528,182,137,372,472
5,Chattanooga,35,29,6,0.829,3.24,-3.46,2652,2364,,1410,897,1963,0.457,262,729,0.359,596,811,0.735,381,1241,504,272,165,437,596
6,Michigan State,35,29,6,0.829,22.59,6.94,2793,2245,,1410,1009,2078,0.486,321,739,0.434,454,623,0.729,415,1454,719,156,177,406,671
7,Saint Mary's (CA),35,29,6,0.829,13.6,1.24,2576,2132,,1400,951,1887,0.504,303,747,0.406,371,539,0.688,310,1225,583,169,119,335,539
8,North Carolina,40,33,7,0.825,23.44,10.69,3311,2801,,1600,1235,2560,0.482,224,685,0.327,617,826,0.747,568,1624,708,269,177,431,718
9,Hawaii,34,28,6,0.824,9.03,-1.04,2620,2267,,1365,893,1946,0.459,237,737,0.322,597,873,0.684,360,1270,525,257,124,443,695
10,Stephen F. Austin,34,28,6,0.824,9.23,-5.47,2728,2153,,1360,972,2032,0.478,269,741,0.363,515,701,0.735,405,1188,635,310,122,411,700
11,Xavier,34,28,6,0.824,18.58,8.43,2737,2392,,1360,928,2054,0.452,255,702,0.363,626,857,0.73,436,1387,548,246,101,429,678
12,Oregon,38,31,7,0.816,18.05,8.64,2990,2614,,1525,1041,2230,0.467,260,758,0.343,648,906,0.715,442,1382,517,275,221,431,675
13,Valparaiso,37,30,7,0.811,10.71,0.02,2782,2323,,1490,964,2178,0.443,298,829,0.359,556,769,0.723,468,1533,526,246,175,479,731
14,Grand Canyon,34,27,7,0.794,1.43,-5.6,2581,2316,,1365,896,1978,0.453,210,583,0.36,579,835,0.693,399,1301,504,210,90,407,625
15,Alabama-Birmingham,33,26,7,0.788,3.5,-3.07,2606,2323,,1340,942,1970,0.478,250,671,0.373,472,654,0.722,366,1259,607,213,201,414,579
16,Stony Brook,33,26,7,0.788,3.75,-5.28,2515,2115,,1325,933,1992,0.468,220,598,0.368,429,637,0.673,425,1312,541,204,150,379,523
17,Oklahoma,37,29,8,0.784,19.76,11.14,2948,2629,,1495,1018,2225,0.458,382,906,0.422,530,734,0.722,407,1418,537,247,188,484,630
18,Virginia,37,29,8,0.784,22.04,11.12,2626,2222,,1485,964,1964,0.491,224,557,0.402,474,630,0.752,323,1189,551,199,119,345,596
19,Gonzaga,36,28,8,0.778,16.92,4.23,2840,2360,,1445,1011,2081,0.486,281,738,0.381,537,708,0.758,382,1426,501,184,111,418,623
20,Monmouth,36,28,8,0.778,5.29,-1.85,2861,2604,,1450,963,2214,0.435,282,770,0.366,653,850,0.768,388,1397,443,296,128,443,767
21,Saint Joseph's,36,28,8,0.778,12.1,4.93,2780,2522,,1445,976,2153,0.453,251,767,0.327,577,806,0.716,359,1378,534,184,119,355,583
